Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014-04-01,102,00:10:00,Tuesday,Centennial Loop,Utilized Off Route,33,66,s,7782
2014-04-01,108,01:20:00,Tuesday,Downsview Station,Mechanical,18,36,W,1357
2014-04-01,96,01:25:00,Tuesday,wilson stn,Mechanical,27,54,n/b,1313
2014-04-01,86,01:29:00,Tuesday,Midland/Eglinton,Mechanical,10,20,W/B,7578
2014-04-01,25,02:06:00,Tuesday,In front of 35 Thorncliffe Pk,Mechanical,25,0,N,7650
2014-04-01,303,02:24:00,Tuesday,Don Mills and Freshmeadow,Mechanical,30,60,S,7650
2014-04-01,320,03:33:00,Tuesday,Yonge at Eglinton,Emergency Services,4,7,sb,1395
2014-04-01,307,04:59:00,Tuesday,Terminal 3 Pearson Airport,Emergency Services,30,1,E,1598
2014-04-01,29,05:10:00,Tuesday,Dufferin / Bloor,Mechanical,12,23,S/B,9438
2014-04-01,32,05:24:00,Tuesday,Eglinton stn,Late Leaving Garage,10,20,w,1059
2014-04-01,96,05:29:00,Tuesday,Finch/Humberline,Mechanical,9,18,w,1285
2014-04-01,35,05:30:00,Tuesday,jane stn,Mechanical,10,20,n,7225
2014-04-01,63,05:31:00,Tuesday,East Liberty,Late Leaving Garage,12,24,n,1525
2014-04-01,96,05:40:00,Tuesday,Finch/Humberline,Mechanical,9,18,w,7205
2014-04-01,29,05:41:00,Tuesday,Wilson Stn,Utilized Off Route,4,9,s,9415
2014-04-01,24,05:41:00,Tuesday,Victoria Park and Gerrard,Late Leaving Garage,10,1,S,7840
2014-04-01,29,05:43:00,Tuesday,Wilson Stn,Utilized Off Route,5,9,s,9428
2014-04-01,45,05:44:00,Tuesday,Steeles Loop at Kipling,Late Leaving Garage,11,22,S,7975
2014-04-01,39,05:49:00,Tuesday,Markham & McClevin,Mechanical,6,11,NB,7121
2014-04-01,85,05:50:00,Tuesday,Rouge Hill GO,Late Leaving Garage,8,16,W,1720
2014-04-01,29,05:56:00,Tuesday,Wilson Garage,Late Leaving Garage,3,5,S/B,9444
2014-04-01,96,06:00:00,Tuesday,Wilson Route.,General Delay,10,20,B/w,
2014-04-01,199,06:00:00,Tuesday,Scarborough Town Centre,Late Leaving Garage,3,6,WB,1149
2014-04-01,60,06:01:00,Tuesday,finch stn,Mechanical,13,21,w,1284
2014-04-01,59,06:05:00,Tuesday,church at jane,Mechanical,13,31,w,1323
2014-04-01,106,06:08:00,Tuesday,Wilson Garage,Late Leaving Garage,7,14,N,8217
2014-04-01,29,06:10:00,Tuesday,Wilson Station,Late Leaving Garage,2,5,S/B,8341
2014-04-01,89,06:17:00,Tuesday,Keele Station,Late Leaving Garage,6,16,n,1558
2014-04-01,32,06:20:00,Tuesday,Eglinton / Keele,Late Leaving Garage,5,10,e,1608
2014-04-01,29,06:20:00,Tuesday,Orfus / Dufferin,Mechanical,3,5,S/B,9411
2014-04-01,24,06:20:00,Tuesday,Victoria Park stn,Late Leaving Garage,5,10,N,8150
2014-04-01,12,06:21:00,Tuesday,victoria Park stn,Late Leaving Garage,11,22,E,8123
2014-04-01,20,06:25:00,Tuesday,Main stn,Late Leaving Garage,13,26,E,7882
