Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2017-04-01,501,00:53:00,Saturday,Queen and River,Mechanical,10,20,E/B,4235
2017-04-01,512,02:41:00,Saturday,Dundas St. West and Brock St.,Held By,1,1,W/B,4143
2017-04-01,304,03:28:00,Saturday,King St. West and John St.,Held By,35,65,E/B,4036
2017-04-01,301,03:39:00,Saturday,Queen and Spadina,Held By,10,40,E/B,4051
2017-04-01,501,05:17:00,Saturday,Roncesvalles Yard,Mechanical,9,18,E/B,4015
2017-04-01,504,06:48:00,Saturday,Broadview Station,Mechanical,10,20,W/B,4096
2017-04-01,512,08:22:00,Saturday,Dundas,Investigation,5,10,N/B,4051
2017-04-01,501,08:25:00,Saturday,Russell Yard,Mechanical,6,12,W/B,4089
2017-04-01,512,08:29:00,Saturday,Dundas,Investigation,5,10,N/B,4167
2017-04-01,501,09:00:00,Saturday,Russell Yard,Mechanical,6,12,E/B,4244
2017-04-01,501,09:12:00,Saturday,Mt Dennis Garage,Mechanical,6,12,W/B,1418
2017-04-01,501,09:34:00,Saturday,Roncesvalles Yard,Mechanical,6,12,E/B,4242
2017-04-01,501,09:38:00,Saturday,Russell Yard,Mechanical,6,12,E/B,4215
2017-04-01,506,09:44:00,Saturday,Coxwell Loop,Mechanical,6,12,B/W,4105
2017-04-01,501,11:20:00,Saturday,Spadina and King St,Investigation,6,12,S/B,4245
2017-04-01,510,11:25:00,Saturday,spadina/king,Held By,10,14,B/W,4418
2017-04-01,504,11:29:00,Saturday,King and Spadina,Held By,7,13,B/W,4195
2017-04-01,501,12:15:00,Saturday,Church and Queen,Mechanical,6,12,E/B,4218
2017-04-01,511,12:20:00,Saturday,Dundas,Utilized Off Route,7,14,N/B,8343
2017-04-01,504,12:49:00,Saturday,Queen & Broadview,Mechanical,5,10,E/B,4146
2017-04-01,506,13:07:00,Saturday,Carlton and Parliament,Investigation,70,76,B/W,4192
2017-04-01,511,13:45:00,Saturday,fleet/strachan,Investigation,1,1,S/B,1393
2017-04-01,509,14:05:00,Saturday,CNE,Mechanical,7,14,E/B,4424
2017-04-01,505,16:20:00,Saturday,Howard Pk Ave,Mechanical,5,10,W/B,4173
2017-04-01,506,16:30:00,Saturday,HIGH PARK LOOP,Mechanical,6,13,E/B,4103
2017-04-01,510,16:55:00,Saturday,Dundas,Mechanical,5,10,S/B,4426
2017-04-01,509,17:22:00,Saturday,CNE LOOP,Mechanical,10,16,E/B,4424
2017-04-01,501,19:14:00,Saturday,Queen and Spadina,Investigation,5,10,E/B,4243
2017-04-01,501,19:38:00,Saturday,Long Branch Loop,Emergency Services,10,20,E/B,1563
2017-04-01,504,21:00:00,Saturday,Broadview Station Loop to Dundas West Station,General Delay,16,10,B/W,
2017-04-01,514,21:00:00,Saturday,Dufferin Loop to Queen/Broadview,General Delay,16,20,B/W,
2017-04-01,505,21:19:00,Saturday,Broadview Station,Mechanical,8,16,S/B,4087
2017-04-01,505,23:10:00,Saturday,Church,Mechanical,8,18,W/B,4049
2017-04-02,301,03:47:00,Sunday,York north of king,Held By,5,35,W/B,4222
2017-04-02,504,05:44:00,Sunday,Roncesvalles and King,Mechanical,17,26,W/B,4016
2017-04-02,504,09:04:00,Sunday,King and Roncesvalles,Mechanical,7,14,W/B,4104
2017-04-02,501,09:45:00,Sunday,Connaught to Neville Loop,General Delay,18,24,E/B,
2017-04-02,501,11:15:00,Sunday,Dufferin Loop,Mechanical,6,12,E/B,7933
2017-04-02,501,11:42:00,Sunday,Mt Dennis Garage,Mechanical,6,12,E/B,1569
2017-04-02,501,11:45:00,Sunday,Queen and University,Held By,20,26,W/B,4220
2017-04-02,514,11:51:00,Sunday,King and Bathurst,Mechanical,0,0,E/B,4407
2017-04-02,514,12:50:00,Sunday,King & Bay,Investigation,14,28,W/B,4411
2017-04-02,512,13:42:00,Sunday,St.Clair West,Mechanical,6,12,E/B,4034
2017-04-02,512,14:04:00,Sunday,St. Clair West Station,Mechanical,6,11,W/B,4075
2017-04-02,501,14:08:00,Sunday,Kipling and Lakeshore,Mechanical,5,10,E/B,1609
2017-04-02,501,14:14:00,Sunday,Queen and Spadina,Investigation,6,12,E/B,4218
2017-04-02,501,14:25:00,Sunday,Queen and Spadina,Investigation,6,12,E/B,4214
2017-04-02,512,14:58:00,Sunday,Spadina,Investigation,37,42,W/B,4164
2017-04-02,509,16:02:00,Sunday,Queens Quay @ Rees,Mechanical,0,0,W/B,4413
2017-04-02,501,16:18:00,Sunday,Neville Park Loop,Mechanical,6,12,W/B,4033
2017-04-02,504,16:44:00,Sunday,Roncesvalles & Howard Park,Held By,7,14,W/B,4427
2017-04-02,501,17:42:00,Sunday,Gladstone and Queen,Mechanical,6,12,E/B,4236
2017-04-02,509,17:53:00,Sunday,Queens Quay @ Rees,Investigation,12,18,E/B,4413
2017-04-02,510,17:54:00,Sunday,QUEENSQUAY AND REESE,Held By,7,12,E/B,4420
2017-04-02,510,18:40:00,Sunday,SPADINA STATION,Held By,14,9,S/B,4419
2017-04-02,511,19:26:00,Sunday,BATHURST AND QUEEN,Mechanical,85,14,N/B,8384
2017-04-02,501,20:35:00,Sunday,Queen and Parliament,Held By,5,10,E/B,7853
2017-04-02,512,22:21:00,Sunday,St Clair West Stn,Investigation,0,0,W/B,4164
