Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2017-07-01,505,01:24:00,Saturday,University and Dundas,Held By,60,70,B/W,4167
2017-07-01,501,03:42:00,Saturday,Queen and Yonge,Mechanical,30,60,W/B,8156
2017-07-01,306,05:16:00,Saturday,College/University,Investigation,34,0,E/B,1147
2017-07-01,501,05:54:00,Saturday,Birchmount Garage,Late Leaving Garage,7,15,W/B,8126
2017-07-01,514,07:26:00,Saturday,Parliament-Richmond,Held By,34,48,S/B,4411
2017-07-01,504,08:15:00,Saturday,Broadview stn,Investigation,12,22,W/B,4046
2017-07-01,501,09:26:00,Saturday,Mt Dennis Garage,Late Leaving Garage,7,14,E/B,1621
2017-07-01,501,10:11:00,Saturday,Glen Manor Dr and Queen,Mechanical,7,14,W/B,1562
2017-07-01,505,10:26:00,Saturday,Yonge,General Delay,10,17,B/W,4053
2017-07-01,501,11:25:00,Saturday,Wilson Grage,Late Leaving Garage,7,14,W/B,1264
2017-07-01,505,11:57:00,Saturday,Dundas and Bay,Investigation,21,28,E/B,4049
2017-07-01,504,12:26:00,Saturday,Dundas West Station,Mechanical,6,12,E/B,4229
2017-07-01,505,12:35:00,Saturday,Spadina,General Delay,20,27,B/W,4177
2017-07-01,510,12:40:00,Saturday,.Queens Quay,Mechanical,4,8,B/W,4402
2017-07-01,501,12:46:00,Saturday,Queen and Beverly,General Delay,15,21,W/B,1034
2017-07-01,501,12:56:00,Saturday,Queen and Spadina,General Delay,13,19,E/B,8339
2017-07-01,501,13:13:00,Saturday,Church @ Queen,Held By,17,22,B/W,1054
2017-07-01,509,13:15:00,Saturday,Fleet Loop,Diversion,64,70,W/B,4418
2017-07-01,504,15:29:00,Saturday,Dundas Street and Bloor Street,Mechanical,6,12,E/B,4204
2017-07-01,501,15:46:00,Saturday,Parklawn / Lakeshore,Mechanical,6,12,W/B,8377
2017-07-01,512,15:46:00,Saturday,St Clair Station,Investigation,26,32,E/B,4089
2017-07-01,501,16:13:00,Saturday,Long Branch (Lakeshore West of Browns Line),Mechanical,6,12,E/B,7861
2017-07-01,506,16:20:00,Saturday,Dundas & Howard Park,Mechanical,6,12,W/B,4161
2017-07-01,504,16:38:00,Saturday,Dundas West Station,Mechanical,6,12,E/B,4090
2017-07-01,506,16:43:00,Saturday,Carlton @ Church,Mechanical,6,12,E/B,4091
2017-07-01,506,17:28:00,Saturday,Carlton @ Yonge,Held By,21,26,W/B,4074
2017-07-01,505,17:28:00,Saturday,yonge/carlton,Investigation,22,27,E/B,4113
2017-07-01,511,18:19:00,Saturday,bathurst/fleet,Investigation,29,35,N/B,4208
2017-07-01,501,21:00:00,Saturday,Royal York to Neville Park,General Delay,25,35,B/W,
2017-07-01,504,21:13:00,Saturday,King and Ontario,General Delay,25,31,B/W,4144
2017-07-01,514,21:19:00,Saturday,King and Yonge,General Delay,24,39,B/W,4433
2017-07-01,505,21:32:00,Saturday,dundas west station,Investigation,13,22,W/B,4014
2017-07-01,506,21:51:00,Saturday,Queen @ Woodfield,Emergency Services,9,15,B/W,4197
2017-07-01,509,22:37:00,Saturday,Queens Quay @ York,Held By,24,31,B/W,4432
2017-07-01,501,23:23:00,Saturday,Alton and Queen,Mechanical,5,10,W/B,8050
2017-07-01,510,23:55:00,Saturday,sussex/spadina,Investigation,27,34,N/B,4414
2017-07-02,504,00:47:00,Sunday,King and bathurst,Investigation,16,26,W/B,4186
2017-07-02,504,01:36:00,Sunday,King and Yonge,Mechanical,75,87,W/B,4226
2017-07-02,501,01:46:00,Sunday,Neville Loop,Emergency Services,5,10,E/B,8327
2017-07-02,504,02:16:00,Sunday,King and  Bathurst,Held By,42,52,W/B,4160
2017-07-02,511,02:16:00,Sunday,King @ Bathurst,Mechanical,0,0,E/B,4438
2017-07-02,505,05:23:00,Sunday,Dundas/Broadview,Mechanical,0,13,E/B,4148
2017-07-02,501,05:52:00,Sunday,Mnt Dennis Garage,Mechanical,6,12,E/B,1031
2017-07-02,301,06:08:00,Sunday,Neville Loop,Emergency Services,1,1,W/B,7848
2017-07-02,501,08:15:00,Sunday,Norris,Investigation,1,8,E/B,7821
2017-07-02,504,08:23:00,Sunday,Dundas w stn,Mechanical,9,19,E/B,4182
2017-07-02,501,10:14:00,Sunday,Mnt Dennis,Mechanical,6,12,W/B,1023
2017-07-02,501,10:27:00,Sunday,Neville Loop,Mechanical,6,12,W/B,7867
2017-07-02,501,10:33:00,Sunday,Queen Dufferin,Mechanical,6,12,E/B,1056
2017-07-02,501,12:02:00,Sunday,Longbranch Loop,Mechanical,6,12,E/B,8303
2017-07-02,501,14:59:00,Sunday,Parklawn / Lakeshore,Emergency Services,10,20,E/B,1394
2017-07-02,505,16:14:00,Sunday,Parliament,Emergency Services,22,29,E/B,4096
2017-07-02,506,16:21:00,Sunday,Dundas at Parliament,Held By,8,16,W/B,4134
2017-07-02,505,17:09:00,Sunday,Dundas and Parliament,Held By,6,12,E/B,4069
2017-07-02,505,17:18:00,Sunday,Lansdowne Loop,Mechanical,6,11,W/B,4096
2017-07-02,506,17:48:00,Sunday,Gerrard at Broadview,Investigation,8,16,W/B,1739
2017-07-02,501,18:07:00,Sunday,Long Branch Loop,Mechanical,10,20,E/B,1700
2017-07-02,505,18:30:00,Sunday,Dundas West Stn to Broadview Stn,General Delay,8,19,B/W,
2017-07-02,511,19:00:00,Sunday,Bathurst Stn to Exibition Loop,General Delay,5,10,B/W,
2017-07-02,501,20:01:00,Sunday,Queen at Brooklyn,Investigation,1,6,W/B,1654
2017-07-02,504,20:50:00,Sunday,Roncesvalles and Queen,Mechanical,10,20,W/B,4200
2017-07-02,514,22:00:00,Sunday,Parliament and King,General Delay,25,15,W/B,4404
2017-07-02,504,22:30:00,Sunday,Bathurst and King,General Delay,25,35,B/W,
2017-07-03,514,00:02:00,Monday,King and Bay,Mechanical,11,26,E/B,4407
2017-07-03,504,00:02:00,Monday,King and Bay,Held By,11,21,E/B,4178
2017-07-03,510,01:37:00,Monday,Nassau and Spadina,Investigation,12,20,S/B,4406
2017-07-03,505,06:36:00,Monday,DWS,Mechanical,10,20,E/B,4171
2017-07-03,511,07:21:00,Monday,CNE,Mechanical,10,20,B/W,4240
2017-07-03,501,09:38:00,Monday,Parklawn and Lakeshore,Mechanical,7,14,E/B,7503
2017-07-03,501,10:00:00,Monday,Wilson Garage,Late Leaving Garage,7,14,E/B,1368
2017-07-03,506,10:30:00,Monday,Dundas and Ossington,Held By,8,14,wb,4022
2017-07-03,505,11:20:00,Monday,Dundas West Stn to Broadview Stn.,General Delay,8,19,B/W,
2017-07-03,505,11:32:00,Monday,DWS,Mechanical,6,12,E/B,4064
2017-07-03,501,12:17:00,Monday,Eglinton and Queen,Late Leaving Garage,7,14,W/B,7614
2017-07-03,512,13:08:00,Monday,St Clair W & Avenue Road,Investigation,60,66,E/B,4160
2017-07-03,512,13:44:00,Monday,St Clair W & Avenue,Held By,28,34,wb,4103
2017-07-03,504,18:33:00,Monday,Broadview stn,Investigation,6,13,W/B,4243
2017-07-03,514,22:00:00,Monday,Parliament and King,General Delay,25,20,W/B,4421
2017-07-03,505,22:14:00,Monday,Lansdowne Loop,Emergency Services,6,17,E/B,4028
2017-07-03,504,22:31:00,Monday,Broadview and Queen,Mechanical,10,20,E/B,4030
2017-07-03,501,22:32:00,Monday,Neville Park Loop,Emergency Services,5,10,W/B,1501
2017-07-03,505,22:48:00,Monday,Dundas and Riverdale,Mechanical,23,34,W/B,4178
2017-07-03,504,22:55:00,Monday,Broadview and Riverdale,Held By,18,28,S/B,4242
2017-07-03,504,23:00:00,Monday,Parliament and King,Diversion,317,327,B/W,4197
2017-07-03,514,23:00:00,Monday,King and Parliament,Diversion,130,145,e/b,4435
2017-07-03,511,23:06:00,Monday,Bathurst and Fleet,Emergency Services,8,20,S/B,4210
2017-07-04,506,01:20:00,Tuesday,Coxwell and Dundas,Mechanical,10,20,S/B,4184
2017-07-04,501,05:21:00,Tuesday,Mt Dennis Division,Late Leaving Garage,7,14,E/B,1067
2017-07-04,505,05:53:00,Tuesday,Roncesvalles and Dundas,Late Leaving Garage,6,13,W/B,4190
2017-07-04,506,06:38:00,Tuesday,Carlton,General Delay,6,12,B/W,4106
2017-07-04,501,06:45:00,Tuesday,Birchmount Garage,Late Leaving Garage,6,11,W/B,8120
2017-07-04,506,06:46:00,Tuesday,Coxwell / Gerrard,Mechanical,6,12,S/B,4079
2017-07-04,504,06:50:00,Tuesday,Roncesvalles and Queen,Late Leaving Garage,2,4,E/B,4245
2017-07-04,501,08:23:00,Tuesday,Ossington and Queen,Mechanical,7,14,E/B,1042
2017-07-04,514,09:08:00,Tuesday,King and John,Investigation,18,26,E/B,4438
2017-07-04,504,09:10:00,Tuesday,King and John,Held By,16,19,E/B,4235
2017-07-04,505,11:50:00,Tuesday,Dundas St at Broadview,Diversion,7,14,W/B,4127
2017-07-04,504,12:25:00,Tuesday,Broadview at Dundas,Utilized Off Route,4,8,W/B,4120
2017-07-04,501,13:30:00,Tuesday,Queen - Route,General Delay,12,12,B/W,
2017-07-04,504,13:48:00,Tuesday,Roncesvalles/Queen,Investigation,5,10,W/B,4147
2017-07-04,505,14:21:00,Tuesday,Exit Dundas West Stn,Investigation,28,34,E/B,4192
2017-07-04,504,14:23:00,Tuesday,Edna/Dundas (DW Stn),Held By,27,52,E/B,4149
2017-07-04,509,14:27:00,Tuesday,CNE Loop,Mechanical,5,10,B/W,4433
2017-07-04,506,14:38:00,Tuesday,Gerrard and Sackville,Mechanical,6,12,E/B,1314
2017-07-04,504,15:00:00,Tuesday,Church-Bathurst,General Delay,9,14,B/W,
2017-07-04,504,15:19:00,Tuesday,Roncesvalles/Queen,Mechanical,3,5,E/B,4246
2017-07-04,501,15:26:00,Tuesday,Spadina and Queen,Mechanical,4,8,E/B,1257
2017-07-04,504,15:50:00,Tuesday,King/Church,Mechanical,4,9,W/B,4149
2017-07-04,506,16:26:00,Tuesday,Bathurst and Dundas,Mechanical,5,10,W/B,4103
2017-07-04,504,16:26:00,Tuesday,King/University,Investigation,19,24,E/B,4126
2017-07-04,514,16:43:00,Tuesday,Dufferin loop,Mechanical,10,23,E/B,4421
2017-07-04,501,16:55:00,Tuesday,Lakeshore / Parklawn,Emergency Services,1,1,E/B,8310
2017-07-04,504,20:23:00,Tuesday,Dundas and Broadview,Mechanical,51,55,E/B,4184
2017-07-04,501,21:44:00,Tuesday,Queen and Coxwel,Investigation,5,10,W/B,1305
2017-07-05,514,00:25:00,Wednesday,Sherbourne and King,Mechanical,50,15,W/B,4404
2017-07-05,504,00:29:00,Wednesday,Broadview and Queen,Mechanical,60,68,E/B,4048
2017-07-05,501,02:35:00,Wednesday,Neville Park,Investigation,12,24,W/B,8214
