Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2017-05-01,514,01:28:00,Monday,Springhurst loop.,Mechanical,15,30,B/W,4414
2017-05-01,512,05:11:00,Monday,Bathurst and St.Clair,Late Leaving Garage,3,10,E/B,4106
2017-05-01,506,05:22:00,Monday,Howard Park and Roncesvalles,Late Leaving Garage,8,23,E/B,4089
2017-05-01,504,05:24:00,Monday,Roncesvalles and Queen,Late Leaving Garage,6,14,N/B,4216
2017-05-01,512,05:25:00,Monday,Bathurst and St.Clair,Late Leaving Garage,7,12,E/B,4090
2017-05-01,501,05:30:00,Monday,Roncesvalles and Queen,Late Leaving Garage,12,24,E/B,4195
2017-05-01,512,05:56:00,Monday,Bathurst and St.Clair,Late Leaving Garage,2,4,W/B,4044
2017-05-01,504,06:13:00,Monday,Bradview and Queen,Mechanical,5,10,E/B,4094
2017-05-01,504,06:20:00,Monday,Broadview and Queen,Held By,5,10,E/B,4083
2017-05-01,504,06:26:00,Monday,Broadview and Queen,Held By,5,10,E/B,4099
2017-05-01,504,06:29:00,Monday,Broadview and Queen,Held By,4,8,W/B,4136
2017-05-01,506,06:32:00,Monday,Main Station,Mechanical,6,12,W/B,4168
2017-05-01,506,06:46:00,Monday,Howard Park and Roncesvalles,Late Leaving Garage,5,10,E/B,4167
2017-05-01,503,06:51:00,Monday,Eglinton Garage,Late Leaving Garage,12,24,W/B,
2017-05-01,504,06:56:00,Monday,Roncesvalles and Queen,Late Leaving Garage,4,8,E/B,4131
2017-05-01,501,07:20:00,Monday,Marine Parade Drive south of Lakeshore,Mechanical,15,30,S/B,8067
2017-05-01,504,07:46:00,Monday,Roncy Car House,Mechanical,3,6,E/B,4180
2017-05-01,504,07:47:00,Monday,Roncesvalles and Queen,Late Leaving Garage,2,4,E/B,4180
2017-05-01,501,07:56:00,Monday,Springhurst Loop,Mechanical,5,10,W/B,1242
2017-05-01,501,08:17:00,Monday,Springhurst Loop,Mechanical,5,10,W/B,1309
2017-05-01,505,08:53:00,Monday,Crawford and Dundas,General Delay,14,21,W/B,4091
2017-05-01,505,09:14:00,Monday,Chestnut,Mechanical,7,14,E/B,4153
2017-05-01,506,09:18:00,Monday,Marjory Ave,Mechanical,5,11,W/B,4182
2017-05-01,501,09:22:00,Monday,Queen and Shaw,Mechanical,5,11,E/B,4071
2017-05-01,504,10:06:00,Monday,Queen/Broadview,Mechanical,3,5,E/B,4170
2017-05-01,501,10:40:00,Monday,Queensway and Roncesvalles,Mechanical,5,11,E/B,4209
2017-05-01,501,11:18:00,Monday,Queen and Dunn,Mechanical,0,0,E/B,4238
2017-05-01,502,11:27:00,Monday,Queen and Duncan,Mechanical,10,20,E/B,8152
2017-05-01,505,11:36:00,Monday,Bathurst and Dundas,General Delay,16,23,W/B,4163
2017-05-01,501,11:37:00,Monday,Queen and Parliament,Mechanical,6,5,W/B,4222
2017-05-01,504,12:13:00,Monday,roncesvalles/ Garden av.,Mechanical,5,10,E/B,4083
2017-05-01,506,12:21:00,Monday,Carlton & Church,Mechanical,6,12,W/B,4185
2017-05-01,505,12:26:00,Monday,Dundas/Bay,Investigation,2,8,E/B,4157
2017-05-01,504,12:42:00,Monday,Roncesvalles/Dundas,Investigation,6,11,W/B,4183
2017-05-01,505,12:46:00,Monday,Roncesvalles,Held By,6,13,E/B,4125
2017-05-01,504,12:46:00,Monday,Roncesvalles/Howard Park,Investigation,9,14,W/B,4186
2017-05-01,510,13:12:00,Monday,Spadina and Front,Mechanical,7,14,N/B,4434
2017-05-01,506,13:30:00,Monday,Main St.,Mechanical,15,21,EB,4093
2017-05-01,512,13:34:00,Monday,St Clair W station,Mechanical,19,25,W/B,4012
2017-05-01,512,13:34:00,Monday,St Clair W Station,Mechanical,19,25,wb,4012
2017-05-01,505,13:35:00,Monday,Sterling and Dundas,Mechanical,7,14,E/B,4155
2017-05-01,504,13:47:00,Monday,Roncesvalles/Queen,Late Leaving Garage,3,8,W/B,4167
2017-05-01,512,14:30:00,Monday,Gunns Loop to St Clair / Yonge Stn,General Delay,15,12,B/W,
2017-05-01,504,14:59:00,Monday,Roncesvalles/Queen,Mechanical,2,5,W/B,
2017-05-01,505,15:07:00,Monday,adelaide / church,Mechanical,6,12,E/B,4157
2017-05-01,504,15:18:00,Monday,Roncesvalles/Queen,Mechanical,2,5,W/B,
2017-05-01,501,15:21:00,Monday,Queen at Dufferin,Mechanical,6,12,W/B,4171
2017-05-01,512,15:38:00,Monday,St Clair West Stn,Investigation,6,12,E/B,4090
2017-05-01,504,15:40:00,Monday,Roncesvalles/Queen,Late Leaving Garage,2,4,W/B,
2017-05-01,503,15:51:00,Monday,Bingham loop,Mechanical,12,24,W/B,7812
2017-05-01,503,15:55:00,Monday,Bingham Loop,Mechanical,12,24,W/B,
2017-05-01,504,15:58:00,Monday,Kingston Rd/Woodbine,Mechanical,12,24,W/B,7812
2017-05-01,504,15:59:00,Monday,Roncesvalles/Queen,Mechanical,2,4,W/B,
2017-05-01,504,16:17:00,Monday,Roncesvalles/Queen,Mechanical,3,4,W/B,
2017-05-01,506,16:20:00,Monday,College @ Lansdowne,Mechanical,6,12,W/B,4174
2017-05-01,511,16:24:00,Monday,Bathurst / Queen,Mechanical,6,12,N/B,1376
2017-05-01,505,16:29:00,Monday,Parliament / Dundas,Mechanical,6,12,E/B,4163
2017-05-01,501,16:36:00,Monday,Queensway at Roncesvalles,Mechanical,1,1,E/B,
2017-05-01,506,16:36:00,Monday,Queen & Roncesvalles,Investigation,6,12,W/B,4174
2017-05-01,501,16:36:00,Monday,Queen Bothways,General Delay,12,18,E/B,
2017-05-01,514,16:37:00,Monday,Distillery Loop,Mechanical,9,18,W/B,4408
2017-05-01,504,16:44:00,Monday,Rocesvalles/Queen,Held By,8,12,W/B,4066
2017-05-01,504,17:00:00,Monday,Broadview stn,Mechanical,4,8,W/B,
2017-05-01,514,17:03:00,Monday,King/Bay,Emergency Services,540,0,B/W,4057
2017-05-01,503,17:03:00,Monday,King-York,Emergency Services,12,60,B/W,7718
2017-05-01,504,17:10:00,Monday,King/Bay,Emergency Services,720,0,B/W,4078
2017-05-01,512,17:34:00,Monday,St Clair W  @ Vaughan,Mechanical,3,9,E/B,4106
2017-05-01,510,17:42:00,Monday,lower simcoe / QQ,Investigation,6,12,E/B,4420
2017-05-01,504,17:44:00,Monday,Broadview/Gerrard,Held By,5,7,W/B,4000
2017-05-01,501,17:48:00,Monday,Longbranch Loop,Mechanical,6,12,E/B,1532
2017-05-01,506,18:15:00,Monday,College @ Yonge,Investigation,9,15,W/B,4089
2017-05-01,506,18:53:00,Monday,Carlton @ De Grassi,Mechanical,25,30,E/B,4053
2017-05-01,506,19:15:00,Monday,College @ Lansdowne,Mechanical,6,12,E/B,4108
2017-05-01,501,19:24:00,Monday,Queen at Shorbourne,Emergency Services,6,56,W/B,4237
2017-05-01,504,19:43:00,Monday,King/Parliament,Mechanical,5,10,E/B,4135
2017-05-01,506,21:02:00,Monday,Gerrard @ Greenwood,Held By,6,12,E/B,4156
2017-05-01,510,21:39:00,Monday,Union Tunnel,Investigation,6,12,N/B,4402
2017-05-01,509,21:41:00,Monday,Queens Quay @ Lower Simcoe,Investigation,19,25,E/B,4410
2017-05-01,510,22:26:00,Monday,Spadina and King,Investigation,7,14,S/B,4417
2017-05-01,504,23:00:00,Monday,King st,General Delay,1,1,B/W,
2017-05-01,509,23:40:00,Monday,Queens Quay @ Lower Simcoe,Mechanical,0,0,E/B,4432
2017-05-01,504,23:55:00,Monday,Dundas West Station,Mechanical,10,20,W/B,4209
2017-05-02,504,05:15:00,Tuesday,Spadina to church on King,Diversion,1185,1190,B/W,4145
2017-05-02,504,05:45:00,Tuesday,Roncesvalle and Queen,Mechanical,4,8,W/B,4049
2017-05-02,506,06:09:00,Tuesday,Howard Park and Roncesvalles,Mechanical,7,15,E/B,4047
2017-05-02,514,06:15:00,Tuesday,King & Church,Diversion,1125,1130,B/W,4412
2017-05-02,506,06:17:00,Tuesday,Roncy Yard,Mechanical,7,14,EB,4047
2017-05-02,504,06:28:00,Tuesday,Queen & Jones,Mechanical,4,8,W/B,4136
2017-05-02,506,06:46:00,Tuesday,Howard Park and Roncesvalles,Mechanical,5,10,E/B,4172
2017-05-02,501,07:20:00,Tuesday,Roncesvalles and Queen,Mechanical,5,10,E/B,4216
2017-05-02,504,07:31:00,Tuesday,Roncesvalles and Queen,Late Leaving Garage,2,4,E/B,
2017-05-02,504,07:34:00,Tuesday,Roncesvalles and Queen,Late Leaving Garage,2,4,E/B,
2017-05-02,511,07:46:00,Tuesday,Bathurst at King,Investigation,3,5,N/B,1666
2017-05-02,504,07:47:00,Tuesday,Roncesvalles and Queen,Late Leaving Garage,2,4,E/B,
2017-05-02,504,07:54:00,Tuesday,Roncesvalles and Queen,Late Leaving Garage,2,4,E/B,
2017-05-02,501,08:03:00,Tuesday,Lakeshore and Kipling,Mechanical,6,11,W/B,1364
2017-05-02,514,08:14:00,Tuesday,Distrillery Loop,Utilized Off Route,8,16,W/B,4428
2017-05-02,501,08:28:00,Tuesday,Queen and Connaught,General Delay,13,18,E/B,4213
2017-05-02,501,09:00:00,Tuesday,Queen line,General Delay,10,15,E/B,
2017-05-02,510,09:16:00,Tuesday,Spadina at Dundas,Mechanical,6,9,S/B,4416
2017-05-02,501,09:21:00,Tuesday,Queen and Spadina,Held By,14,20,E/B,4225
