Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2015-06-01,320,01:25:00,Monday,St. Clair and Yonge,Diversion,3,26,S,7542
2015-06-01,68,01:30:00,Monday,Warden & Steeles,Mechanical,16,32,SB,7418
2015-06-01,300,03:23:00,Monday,Danforth and Danforth,Utilized Off Route,1,1,W/B,8051
2015-06-01,320,03:57:00,Monday,Yonge & Steeles,Mechanical,15,30,S,8319
2015-06-01,60,04:34:00,Monday,SPLM,Late Leaving Garage,20,1,E,1243
2015-06-01,172,04:55:00,Monday,Birchmount Gargae,Late Leaving Garage,0,15,WB,7760
2015-06-01,224,05:00:00,Monday,egl. Yard,Late Leaving Garage,1,1,s,7554
2015-06-01,112,05:00:00,Monday,Commerce & Skymark,Mechanical,15,15,S,7958
2015-06-01,21,05:01:00,Monday,Birchmount Garage,Late Leaving Garage,20,40,N,8116
2015-06-01,41,05:05:00,Monday,Keele station,Late Leaving Garage,20,30,N/B,9144
2015-06-01,224,05:14:00,Monday,Eglinton Garage,Late Leaving Garage,1,1,n/b,7554
2015-06-01,320,05:18:00,Monday,Steeles and Yonge,Late Leaving Garage,15,1,S,8383
2015-06-01,35,05:20:00,Monday,Jane station,Late Leaving Garage,10,20,N,1217
2015-06-01,7,05:21:00,Monday,Wilson Garage,Late Leaving Garage,10,30,,9052
2015-06-01,53,05:27:00,Monday,Passmore and Markham,Mechanical,4,9,w,1123
2015-06-01,32,05:35:00,Monday,Skymark,Mechanical,8,16,w/b,1200
2015-06-01,24,05:38:00,Monday,Birchmount garage,Late Leaving Garage,12,24,NB,7857
2015-06-01,66,05:40:00,Monday,Humber loop,Late Leaving Garage,20,40,n/b,8090
2015-06-01,7,05:43:00,Monday,Wilson Garage,Late Leaving Garage,8,17,,9040
2015-06-01,90,05:44:00,Monday,Saint Clair West Station,Mechanical,7,15,,9425
2015-06-01,7,05:47:00,Monday,Wilson Garage,Late Leaving Garage,9,26,,9018
2015-06-01,86,05:47:00,Monday,Eglinton yard,Mechanical,16,0,e,7462
2015-06-01,79,05:49:00,Monday,Pine and Lawrence,Late Leaving Garage,19,32,S/B,1063
2015-06-01,32,05:52:00,Monday,Eglinton and Keele,Late Leaving Garage,19,28,e/b,1597
2015-06-01,24,05:53:00,Monday,Consummers Rd and Victoria Park,Mechanical,12,24,NB,7857
2015-06-01,23,05:54:00,Monday,Ferris and Rexliegh,Mechanical,6,12,W,7813
2015-06-01,86,05:55:00,Monday,Eglinton yard,Mechanical,4,8,s,7427
2015-06-01,86,05:57:00,Monday,Eglinton yard,Mechanical,15,0,e,7667
2015-06-01,41,05:58:00,Monday,Keele station,Mechanical,11,21,N,9146
2015-06-01,35,06:00:00,Monday,Jane street,General Delay,10,20,N,
2015-06-01,84,06:00:00,Monday,Sheppard Stn.,Late Leaving Garage,9,17,W,1219
2015-06-01,43,06:00:00,Monday,Eglinton yard,Mechanical,10,20,e,7594
2015-06-01,59,06:00:00,Monday,Church at Weston,General Delay,15,30,B/w,
2015-06-01,52,06:02:00,Monday,Westwood mall,Late Leaving Garage,18,36,E/B,1675
2015-06-01,70,06:04:00,Monday,warden station,Late Leaving Garage,147,34,n,7482
2015-06-01,86,06:09:00,Monday,Eglinton yard,Mechanical,5,10,s,7566
2015-06-01,116,06:09:00,Monday,Morningside and Staines,Utilized Off Route,6,12,n,7615
2015-06-01,191,06:09:00,Monday,Kipling station,Mechanical,18,47,N,7951
2015-06-01,35,06:10:00,Monday,Steeles,Late Leaving Garage,5,10,S,1306
2015-06-01,91,06:10:00,Monday,Woodbine Stn,Late Leaving Garage,20,40,N/B,7716
2015-06-01,63,06:10:00,Monday,East Liberty,Late Leaving Garage,4,8,SB,1648
2015-06-01,85,06:10:00,Monday,Rouge Hill GO,Late Leaving Garage,11,21,W,9080
2015-06-01,76,06:11:00,Monday,Evans and Royal York,Mechanical,3,7,s/b,7321
2015-06-01,116,06:11:00,Monday,Eglinton yard,Mechanical,22,44,e,7429
2015-06-01,25,06:12:00,Monday,Eglinton Garage,Late Leaving Garage,1,1,s/b,7673
2015-06-01,80,06:13:00,Monday,Keele stn,Mechanical,30,60,w,8043
2015-06-01,7,06:15:00,Monday,Wilson Garage,Late Leaving Garage,7,15,,9053
2015-06-01,68,06:17:00,Monday,Warden stn,Late Leaving Garage,25,50,n,7568
2015-06-01,67,06:21:00,Monday,Eglinton yard,Investigation,18,36,s,7611
2015-06-01,96,06:22:00,Monday,yorkmills stn,Mechanical,22,44,e,7212
2015-06-01,29,06:23:00,Monday,Dufferin And Tycos,Mechanical,8,16,s/b,9031
