Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-02-01,60,00:30:00,Thursday,Barmac and Steeles,Mechanical,17,34,EB,1303
2018-02-01,52,00:45:00,Thursday,Lawrence Stn.,Mechanical,17,34,W/B,1348
2018-02-01,95,00:53:00,Thursday,York Mills Station,Mechanical,10,20,E/B,1334
2018-02-01,11,01:06:00,Thursday,Davisville stn,Mechanical,30,0,N/B,1795
2018-02-01,63,01:15:00,Thursday,Eglinton West Station,Investigation,10,20,S/B,1563
2018-02-01,42,01:25:00,Thursday,Cummer and Kennedy,Utilized Off Route,20,40,E/B,1667
2018-02-01,60,02:15:00,Thursday,Pioneer Village Station,Investigation,18,46,WB,8558
2018-02-01,320,02:49:00,Thursday,Yonge and Lawrence,Investigation,3,7,SB,1677
2018-02-01,353,02:53:00,Thursday,Don Mills Rd and Steeles Ave,Emergency Services,30,60,W/B,1275
2018-02-01,21,05:01:00,Thursday,Brimley and Steeles,Late Leaving Garage,1,1,S/B,8149
2018-02-01,45,05:12:00,Thursday,Dundas and Auckland,Mechanical,28,60,N/B,8091
2018-02-01,87,05:17:00,Thursday,Main Station,Late Leaving Garage,1,1,W/B,8101
2018-02-01,20,05:30:00,Thursday,MAIN STATION,Late Leaving Garage,20,40,E/B,8145
2018-02-01,39,05:32:00,Thursday,Finch - Baldoon,Late Leaving Garage,5,10,E/B,1283
2018-02-01,66,05:34:00,Thursday,LAKESHORE AND ELLIS,Late Leaving Garage,18,36,N/B,7920
2018-02-01,39,05:37:00,Thursday,Finch - Baldoon,Late Leaving Garage,2,7,E/B,1111
2018-02-01,95,05:40:00,Thursday,SCLP,Late Leaving Garage,20,40,W/B,1223
2018-02-01,185,05:52:00,Thursday,Pape stn,Utilized Off Route,8,16,S/B,8950
2018-02-01,97,05:56:00,Thursday,Steeles and Hilda,Late Leaving Garage,30,60,S/B,1797
2018-02-01,68,05:56:00,Thursday,Warden stn,Mechanical,5,10,N/B,8889
2018-02-01,53,06:09:00,Thursday,Finch Station,Late Leaving Garage,13,26,E/B,9072
2018-02-01,47,06:15:00,Thursday,Lansdowne Stn,Mechanical,9,18,N/B,1541
2018-02-01,68,06:16:00,Thursday,Warden stn,Mechanical,5,10,N/B,8962
2018-02-01,11,06:17:00,Thursday,Sunnybrook Hospital,Mechanical,19,34,S/B,1679
