Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-12-01,6,00:06:00,Saturday,Bay and King,Diversion,494,514,N/B,
2018-12-01,116,00:25:00,Saturday,Guildwood Parkway,Emergency Services,10,20,W/B,8913
2018-12-01,74,00:25:00,Saturday,St. Clair Station,Utilized Off Route,15,30,E/B,8317
2018-12-01,7,00:30:00,Saturday,Greenwin Village and Steeles,Mechanical,10,20,S/B,9021
2018-12-01,116,01:00:00,Saturday,KENN,Mechanical,10,20,E/B,8655
2018-12-01,38,01:09:00,Saturday,STC,Utilized Off Route,13,26,E/B,1318
2018-12-01,60,01:13:00,Saturday,PVST,Mechanical,17,34,E/B,3255
2018-12-01,76,02:04:00,Saturday,Royal York Stn,Utilized Off Route,14,28,E/B,7932
2018-12-01,343,02:30:00,Saturday,Kennedy Stn,Mechanical,30,30,N/B,8823
2018-12-01,339,02:45:00,Saturday,FSTN,Mechanical,30,60,E/B,1726
2018-12-01,320,03:09:00,Saturday,QQYO,Utilized Off Route,3,6,N/B,8707
2018-12-01,320,04:06:00,Saturday,QQYO,Utilized Off Route,15,30,N/B,7858
2018-12-01,353,04:20:00,Saturday,FDFI,Late Leaving Garage,19,30,W/B,1806
2018-12-01,89,04:35:00,Saturday,KSTN,Late Leaving Garage,30,1,N/B,1114
2018-12-01,75,04:44:00,Saturday,Bloor and Sherbourne,Late Leaving Garage,15,15,,1215
2018-12-01,39,04:58:00,Saturday,Finch Av AND Milliken Go,Diversion,120,1,B/W,1799
2018-12-01,32,05:00:00,Saturday,Dufferin and Dupont,Diversion,300,305,B/W,
2018-12-01,62,05:39:00,Saturday,Coxwell and Mortimer,Late Leaving Garage,1,1,,9234
2018-12-01,320,05:46:00,Saturday,SYON,Utilized Off Route,4,8,S/B,8363
2018-12-01,95,05:48:00,Saturday,KNRD,Late Leaving Garage,14,28,W/B,1284
2018-12-01,102,05:52:00,Saturday,Markham Road,Late Leaving Garage,10,20,,9203
2018-12-01,85,05:55:00,Saturday,Meadowvale loop,Late Leaving Garage,8,15,W/B,1320
2018-12-01,42,06:00:00,Saturday,Midland & Kennedy,Diversion,1,1,B/W,
2018-12-01,52,06:00:00,Saturday,Airport T3,Diversion,450,469,E/B,
2018-12-01,847,06:05:00,Saturday,Main Station,Late Leaving Garage,15,25,,8476
2018-12-01,52,06:15:00,Saturday,Lawrence west station,Mechanical,15,30,W/B,8193
2018-12-01,95,06:23:00,Saturday,KNRD,Late Leaving Garage,14,28,E/B,1727
2018-12-01,900,06:25:00,Saturday,Kipling Station,Late Leaving Garage,10,20,N/B,8003
2018-12-01,104,06:50:00,Saturday,Dufferin and inch,Mechanical,15,30,S/B,8213
2018-12-01,935,07:07:00,Saturday,Wilson,Mechanical,10,20,S/B,3110
2018-12-01,89,07:12:00,Saturday,Weston Road and Oak St,Investigation,10,20,NB,1415
2018-12-01,60,07:19:00,Saturday,Finch Stn,Investigation,16,32,,3319
2018-12-01,63,07:29:00,Saturday,Ossington Stn,Mechanical,6,12,S/B,1219
2018-12-01,32,07:46:00,Saturday,KEEG,Mechanical,10,20,W/B,1082
2018-12-01,939,08:14:00,Saturday,STC,Late Leaving Garage,7,7,W/B,1661
2018-12-01,939,08:14:00,Saturday,Finch and Milliken Go,Diversion,1,1,B/W,1588
2018-12-01,111,08:29:00,Saturday,Martin Grove and Eglinton,Late Leaving Garage,20,40,S/B,8051
2018-12-01,52,08:30:00,Saturday,Jetliner Rd At Airport,General Delay,20,39,E/B,
2018-12-01,129,08:39:00,Saturday,STC,Late Leaving Garage,7,13,N/B,1753
2018-12-01,165,09:28:00,Saturday,YKMS,Late Leaving Garage,8,16,W/B,3171
2018-12-01,93,09:30:00,Saturday,Woodbine and Oconnor,General Delay,10,1,B/W,
2018-12-01,32,09:42:00,Saturday,CAEG,Investigation,10,20,E/B,1259
2018-12-01,7,09:53:00,Saturday,Bathurst and Wilson,Late Leaving Garage,7,14,,9018
2018-12-01,701,09:58:00,Saturday,Wilson Station,Utilized Off Route,1,1,S/B,1383
2018-12-01,74,09:59:00,Saturday,St Clair Stn,Utilized Off Route,18,36,,8394
2018-12-01,939,10:00:00,Saturday,Between Finch Station and STC,General Delay,45,52,B/W,
2018-12-01,39,10:00:00,Saturday,Between Finch staion and OldFinch,General Delay,45,55,B/W,
2018-12-01,121,10:00:00,Saturday,Spadina and Fort York,General Delay,15,1,B/W,
2018-12-01,704,10:00:00,Saturday,Finch Stn,Utilized Off Route,1,1,,3172
2018-12-01,65,10:00:00,Saturday,Parliament Route,General Delay,15,1,B/W,
2018-12-01,704,10:00:00,Saturday,PVST,Utilized Off Route,1,1,S/B,3172
2018-12-01,927,10:17:00,Saturday,,Mechanical,10,20,,3150
2018-12-01,102,10:24:00,Saturday,Markham / Steeles,Investigation,10,20,S/B,8548
2018-12-01,702,10:26:00,Saturday,ISTN,Utilized Off Route,1,1,N/B,8036
2018-12-01,24,10:30:00,Saturday,Victoris Park and Eglinton,General Delay,15,1,,
2018-12-01,35,10:39:00,Saturday,Jane Station,Utilized Off Route,10,20,N/B,3264
2018-12-01,35,10:39:00,Saturday,Jane Statoin,Utilized Off Route,10,20,N/B,3264
2018-12-01,165,10:45:00,Saturday,Finch,Mechanical,7,14,S/B,3132
2018-12-01,83,11:00:00,Saturday,Jones Route,General Delay,10,1,B/W,
2018-12-01,21,11:10:00,Saturday,STC,Mechanical,22,44,S/B,1527
2018-12-01,31,11:12:00,Saturday,Danforth and Greenwood,Diversion,883,903,S/B,8934
2018-12-01,75,11:31:00,Saturday,Jarvis and Queensquay,Late Leaving Garage,10,21,,8200
2018-12-01,985,11:35:00,Saturday,Scarborough Town Centre Station,Mechanical,17,34,W/B,9068
2018-12-01,52,11:57:00,Saturday,Lawrence & Keel,Investigation,20,40,W/B,1246
2018-12-01,64,12:00:00,Saturday,Main Route,General Delay,10,1,B/W,
2018-12-01,17,12:00:00,Saturday,Birchmount Route,General Delay,15,1,B/W,
2018-12-01,29,12:00:00,Saturday,Dufferin Route,General Delay,3,7,BW,
2018-12-01,70,12:04:00,Saturday,Coxwell and O'Connor,General Delay,22,36,B/W,
2018-12-01,96,12:18:00,Saturday,Weston,Mechanical,16,32,S/B,3178
2018-12-01,900,12:30:00,Saturday,Kipling Station,Late Leaving Garage,7,14,N/B,7486
2018-12-01,39,12:46:00,Saturday,Don Mills and Finch,Mechanical,12,24,W/B,1735
2018-12-01,7,12:58:00,Saturday,Bathurst / Dulane,Mechanical,7,15,N/B,9020
2018-12-01,57,13:00:00,Saturday,Midland,General Delay,27,41,B/W,
2018-12-01,939,13:10:00,Saturday,STC,Late Leaving Garage,12,24,W/B,1665
2018-12-01,161,13:12:00,Saturday,Rogers and Old Weston,Mechanical,15,30,W/B,1066
2018-12-01,85,13:15:00,Saturday,Sheppard & Morningside,Mechanical,20,40,E/B,1664
2018-12-01,97,13:26:00,Saturday,York Mills Station,Emergency Services,30,60,S/B,8135
2018-12-01,42,13:30:00,Saturday,Midland & Mcnicoll Ave,General Delay,1,1,B/W,
2018-12-01,87,13:30:00,Saturday,Broadview and Cosburn,General Delay,10,1,B/W,
2018-12-01,161,13:59:00,Saturday,Ossington stn,Investigation,15,30,W/B,1131
2018-12-01,34,14:00:00,Saturday,Kennedy station to Donmills rd,General Delay,20,30,B/W,
2018-12-01,100,14:00:00,Saturday,Concorde/Broadview station,General Delay,20,30,B/W,
2018-12-01,80,14:00:00,Saturday,Queensway Route,General Delay,30,60,B/W,8039
2018-12-01,41,14:15:00,Saturday,Sentinel and Murray Ross,Investigation,9,17,S/B,1099
2018-12-01,42,14:30:00,Saturday,Entire Route,General Delay,20,33,B/W,
2018-12-01,24,15:00:00,Saturday,Victoria park route,General Delay,20,1,B/W,
