Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2017-11-01,501,01:09:00,Wednesday,Queen and Roncesvalles,Mechanical,10.0,20.0,E/B,4236.0
2017-11-01,501,02:30:00,Wednesday,Queen and Roncesvalles,Emergency Services,1.0,1.0,W/B,4068.0
2017-11-01,501,02:31:00,Wednesday,Longbranch Loop,Emergency Services,20.0,40.0,W/B,1409.0
2017-11-01,501,02:50:00,Wednesday,Longbranch Loop,Utilized Off Route,10.0,20.0,E/B,1019.0
2017-11-01,501,05:44:00,Wednesday,Queen/Jarvis,Mechanical,6.0,13.0,E/B,8681.0
2017-11-01,501,05:56:00,Wednesday,Queen and Connaught,Mechanical,6.0,12.0,E/B,4217.0
2017-11-01,501,05:59:00,Wednesday,Queen/Dunn,Investigation,6.0,12.0,E/B,7904.0
2017-11-01,511,06:39:00,Wednesday,wilson / bathurst,Held By,6.0,12.0,S/B,8377.0
2017-11-01,504,06:45:00,Wednesday,Roncesvalles and Queen,Late Leaving Garage,4.0,8.0,N/B,4141.0
2017-11-01,501,06:48:00,Wednesday,Queen/Church,Mechanical,6.0,13.0,E/B,7426.0
2017-11-01,504,07:15:00,Wednesday,King & Roncy,Mechanical,4.0,8.0,W/B,4055.0
2017-11-01,501,07:21:00,Wednesday,Queen/Ossington,Mechanical,5.0,11.0,W/B,4247.0
2017-11-01,514,08:25:00,Wednesday,King & Parliament,Mechanical,8.0,16.0,E/B,4412.0
2017-11-01,514,08:25:00,Wednesday,King & Parliament,Utilized Off Route,8.0,16.0,W/B,4424.0
2017-11-01,501,08:27:00,Wednesday,Queen/Spadina,General Delay,8.0,13.0,E/B,4236.0
2017-11-01,504,08:30:00,Wednesday,Dundas west to Broadview Stn,General Delay,20.0,15.0,B/W,
2017-11-01,506,09:53:00,Wednesday,Ossington and College,Investigation,22.0,28.0,E/B,4115.0
2017-11-01,501,10:10:00,Wednesday,Queen/Dunn,Mechanical,6.0,12.0,E/B,4222.0
2017-11-01,511,10:27:00,Wednesday,Bathurst at Lennox,Mechanical,5.0,9.0,B/W,8360.0
2017-11-01,501,10:30:00,Wednesday,Lakeshore/23rd Av.,Mechanical,6.0,12.0,E/B,1062.0
2017-11-01,501,10:41:00,Wednesday,Queen/Gladstone,Mechanical,6.0,12.0,E/B,4236.0
2017-11-01,512,11:00:00,Wednesday,Guns loop,Mechanical,4.0,8.0,E/B,4402.0
2017-11-01,501,11:07:00,Wednesday,Lakeshore/Parliament,Mechanical,12.0,24.0,E/B,8033.0
2017-11-01,512,11:19:00,Wednesday,Oakwood and St Clair,Mechanical,4.0,8.0,E/B,4421.0
2017-11-01,506,12:04:00,Wednesday,Coxwell and Gerrard,Mechanical,6.0,12.0,W/B,4108.0
2017-11-01,505,12:20:00,Wednesday,Dundas/Ontario,Mechanical,7.0,13.0,,4035.0
2017-11-01,501,13:45:00,Wednesday,Roncesvalles Yard.,Investigation,5.0,10.0,W/B,4224.0
2017-11-01,511,14:24:00,Wednesday,Bathurst at King.,Mechanical,4.0,8.0,S/B,8361.0
2017-11-01,504,14:36:00,Wednesday,Victoria and King,General Delay,5.0,10.0,W/B,504.0
2017-11-01,505,16:11:00,Wednesday,Dundas at Chestnut,Held By,11.0,17.0,W/B,4089.0
2017-11-01,501,16:12:00,Wednesday,Parkside dr. / The Queensway,Mechanical,5.0,10.0,W/B,1525.0
2017-11-01,506,16:40:00,Wednesday,High Park Loop,Mechanical,6.0,12.0,E/B,4041.0
2017-11-01,506,16:59:00,Wednesday,Gerrard and Ashdale,Mechanical,6.0,12.0,E/B,4199.0
2017-11-01,506,17:25:00,Wednesday,College and Lansdowne,Mechanical,6.0,12.0,W/B,4104.0
2017-11-01,506,17:47:00,Wednesday,Upper Gerrard and Coxwell,Mechanical,15.0,20.0,W/B,4108.0
2017-11-01,502,17:53:00,Wednesday,Queen / Broadview,Investigation,12.0,24.0,E/B,8132.0
2017-11-01,501,20:21:00,Wednesday,Spadina to Yonge st,General Delay,10.0,18.0,B/W,4243.0
2017-11-01,512,20:25:00,Wednesday,St Clair and Dufferin,Mechanical,4.0,8.0,E/B,4032.0
2017-11-01,501,21:20:00,Wednesday,Queen and Connaught,Investigation,2.0,10.0,W/B,7960.0
2017-11-01,805,21:52:00,Wednesday,King and Parliament,Emergency Services,8.0,16.0,W/B,8774.0
2017-11-02,501,05:04:00,Thursday,Queen and Connaught,Late Leaving Garage,10.0,20.0,E/B,4244.0
2017-11-02,509,05:29:00,Thursday,Jarvis and King,Investigation,15.0,1.0,W/B,4421.0
2017-11-02,510,05:30:00,Thursday,Spadina/King,Held By,15.0,24.0,N/B,4426.0
2017-11-02,501,05:33:00,Thursday,Weston/Eglinton,Mechanical,5.0,11.0,S/B,1008.0
2017-11-02,504,05:34:00,Thursday,King & Jarvis,Held By,30.0,45.0,W/B,4029.0
2017-11-02,504,06:04:00,Thursday,Roncesvalles and King,Late Leaving Garage,4.0,8.0,W/B,4037.0
2017-11-02,504,06:10:00,Thursday,Roncesvalles and King,Held By,4.0,8.0,N/B,4176.0
2017-11-02,512,06:25:00,Thursday,Guns loop,Mechanical,4.0,8.0,E/B,4045.0
2017-11-02,504,08:30:00,Thursday,Dundas West Stn to Broadview Stn,General Delay,20.0,15.0,B/W,
2017-11-02,501,08:38:00,Thursday,Queen/Ontario,General Delay,7.0,13.0,W/B,4245.0
2017-11-02,510,09:00:00,Thursday,King and Spadina,Diversion,4.0,8.0,S/B,4437.0
2017-11-02,506,09:01:00,Thursday,Borden and College,Investigation,6.0,12.0,W/B,4090.0
2017-11-02,501,09:45:00,Thursday,Queen/Degrassi,Diversion,91.0,97.0,W/B,4125.0
2017-11-02,501,10:55:00,Thursday,Lakeshore/Mimico,Emergency Services,6.0,11.0,W/B,1646.0
2017-11-02,501,11:02:00,Thursday,Queen and Church,Mechanical,6.0,12.0,W/B,8621.0
2017-11-02,506,11:25:00,Thursday,Bay and College,Diversion,19.0,25.0,W/B,4053.0
2017-11-02,512,11:30:00,Thursday,Oakwood and St Clair,Mechanical,4.0,8.0,E/B,4023.0
2017-11-02,502,11:34:00,Thursday,Bingham Loop,Mechanical,10.0,20.0,N/B,8104.0
