Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-09-01,501,00:02:00,Saturday,Queen/Spadina,Mechanical,9,18,E/B,4163
2018-09-01,301,00:06:00,Saturday,Queen/Sumach,Diversion,43,52,W/B,4021
2018-09-01,504,01:26:00,Saturday,King and dowling,Mechanical,47,57,E/B,4470
2018-09-01,306,01:42:00,Saturday,Dundas west station,Utilized Off Route,8,16,S/B,7796
2018-09-01,310,03:43:00,Saturday,spadina and sullivan,Investigation,30,60,N/B,4434
2018-09-01,501,04:27:00,Saturday,Russell Yard,Mechanical,10,20,,4170
2018-09-01,510,04:59:00,Saturday,Queen / Spadina,Emergency Services,15,199,N/B,4477
2018-09-01,511,06:13:00,Saturday,King St. and Bathurst St.,Late Leaving Garage,12,24,S/B,4473
2018-09-01,511,08:57:00,Saturday,King St. and Bathurst St.,Late Leaving Garage,4,8,N/B,4483
2018-09-01,510,09:04:00,Saturday,King St. and Spadina Ave.,Late Leaving Garage,4,8,N/B,4447
2018-09-01,510,10:36:00,Saturday,Rees and Queens Quay,Investigation,8,16,E/B,4474
2018-09-01,506,10:50:00,Saturday,Gerrard & Victoria Park,Mechanical,5,10,W/B,7772
2018-09-01,501,11:12:00,Saturday,Queen / Silverbirch,Held By,9,14,W/B,4133
2018-09-01,512,11:20:00,Saturday,Bathurst St. and St. Clair Ave.,Late Leaving Garage,5,10,E/B,4432
2018-09-01,505,12:01:00,Saturday,Dundas and Parliament,Held By,20,24,E/B,7795
2018-09-01,505,12:04:00,Saturday,Dundas and Dufferin,Mechanical,4,8,E/B,8182
2018-09-01,504,13:01:00,Saturday,Broadview/Dundas,Mechanical,5,10,W/B,8881
2018-09-01,501,13:10:00,Saturday,Queen at Pape,Held By,28,33,W/B,4040
2018-09-01,504,13:17:00,Saturday,Queen/Pape,Investigation,21,31,B/W,4164
2018-09-01,501,13:29:00,Saturday,Queen @ Niagara,Mechanical,5,10,E/B,4146
2018-09-01,504,14:00:00,Saturday,Roncesvalles/Church,General Delay,14,19,B/W,
2018-09-01,501,14:28:00,Saturday,Queen at Connaught,Mechanical,5,10,W/B,4146
2018-09-01,505,15:03:00,Saturday,Dundas West STN,Mechanical,4,8,E/B,8304
2018-09-01,505,15:20:00,Saturday,Dundas and Parliament,Investigation,4,8,E/B,8303
2018-09-01,512,15:30:00,Saturday,St Clair Stn,Mechanical,6,12,B/W,4458
2018-09-01,501,15:31:00,Saturday,Neville Loop,Mechanical,5,10,W/B,4089
2018-09-01,504,15:31:00,Saturday,King/Atlantic,Mechanical,5,10,W/B,4042
2018-09-01,510,15:33:00,Saturday,Spadina Station,Mechanical,8,16,S/B,4424
2018-09-01,506,16:36:00,Saturday,Parkside / Ridout,Mechanical,6,12,N/B,1063
2018-09-01,501,16:47:00,Saturday,Queen Route,General Delay,5,10,W/B,
2018-09-01,501,16:47:00,Saturday,Queensway @ Ellis,Investigation,23,28,W/B,4127
2018-09-01,504,17:54:00,Saturday,King/Bay,Mechanical,13,18,E/B,4022
2018-09-01,501,19:03:00,Saturday,Queen at Broadview,Mechanical,5,10,W/B,4090
2018-09-01,501,19:55:00,Saturday,Queen at Connaught,Mechanical,5,10,W/B,4121
2018-09-01,506,20:01:00,Saturday,Carlaw and Gerrard,Investigation,7,14,E/B,8133
2018-09-01,504,20:16:00,Saturday,Parliament and King,Held By,5,10,W/B,8779
2018-09-01,504,20:27:00,Saturday,Roncevallies and garden,General Delay,42,49,B/W,4445
2018-09-01,501,21:10:00,Saturday,Queen/Shaw,Utilized Off Route,5,10,S/B,4240
2018-09-01,504,21:36:00,Saturday,king and bathurst,Utilized Off Route,7,14,W/B,4463
2018-09-01,510,21:46:00,Saturday,Union Station,Utilized Off Route,7,14,W/B,4444
2018-09-01,504,22:25:00,Saturday,King and Bathurst,Utilized Off Route,10,20,E/B,4035
2018-09-01,506,22:33:00,Saturday,Main Station,Utilized Off Route,6,12,W/B,8943
2018-09-01,512,22:47:00,Saturday,St.Clair and Bathurst,Utilized Off Route,9,18,W/B,4453
2018-09-01,501,23:24:00,Saturday,Queen/Church,Diversion,31,40,E/B,4154
2018-09-01,501,23:25:00,Saturday,Russell trailer Track,Investigation,1,1,E/B,4176
2018-09-01,501,23:32:00,Saturday,Dundas/Jarvis,Investigation,9,18,N/B,4154
2018-09-02,501,00:42:00,Sunday,Queen/Beach,Emergency Services,16,24,W/B,4065
2018-09-02,511,00:57:00,Sunday,Bathurst Station,Mechanical,8,14,S/B,1083
2018-09-02,504,01:04:00,Sunday,Dufferin And king,Held By,52,62,N/B,4021
2018-09-02,506,01:35:00,Sunday,Gerrard and Coxwell,Mechanical,10,20,E/B,4096
