Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-02-01,514,23:42:00,Thursday,king and spadina,Utilized Off Route,15,30,W/B,4421
2018-02-01,511,00:20:00,Thursday,Bathurst Station,Mechanical,7,14,S/B,8383
2018-02-01,504,05:06:00,Thursday,Roncesvalles Yard,Mechanical,10,20,W/B,4057
2018-02-01,505,05:57:00,Thursday,Dundas and Brock,Mechanical,6,12,W/B,4050
2018-02-01,504,07:19:00,Thursday,King/Simcoe,Mechanical,4,8,E/B,4141
2018-02-01,504,09:18:00,Thursday,Broadview/Gerrard,Mechanical,11,17,W/B,4184
2018-02-01,502,11:00:00,Thursday,Bingham Loop / Kingston Rd,Mechanical,6,12,W/B,7774
2018-02-01,511,11:10:00,Thursday,Bathurst STN,Mechanical,5,10,S/B,1791
2018-02-01,501,11:34:00,Thursday,Sunnyside Loop,Mechanical,6,12,E/B,4216
2018-02-01,501,13:51:00,Thursday,Queen and Brock st,Mechanical,6,12,W/B,4217
2018-02-01,506,14:12:00,Thursday,Spadina and College,Mechanical,17,23,E/B,4040
2018-02-01,510,14:52:00,Thursday,Spadina Stn,Mechanical,4,8,S/B,4411
2018-02-01,506,15:31:00,Thursday,Main Station,Mechanical,6,12,W/B,4155
2018-02-01,501,15:47:00,Thursday,Queen and Wineva,Mechanical,6,12,W/B,4204
2018-02-01,502,15:51:00,Thursday,Queen and Church,Mechanical,8,16,E/B,8152
2018-02-01,501,17:50:00,Thursday,Queen and Connaught,Mechanical,6,12,W/B,4222
2018-02-01,514,18:12:00,Thursday,Distrillery Loop,Mechanical,9,18,E/B,4413
2018-02-01,506,18:24:00,Thursday,Main Station,Mechanical,6,12,W/B,4165
2018-02-01,511,19:51:00,Thursday,Bathurst Station,Mechanical,6,12,S/B,1409
2018-02-01,501,19:54:00,Thursday,Queen and Connaught,Mechanical,6,12,W/B,4237
2018-02-01,506,21:22:00,Thursday,Coxwell and upper Gerard,Mechanical,2,8,W/B,
2018-02-01,501,22:50:00,Thursday,Long branch loop,Mechanical,6,12,W/B,1287
2018-02-01,510,22:57:00,Thursday,Charlotte Loop,Mechanical,8,16,S/B,4428
2018-02-01,510,23:30:00,Thursday,Queens Quay,Mechanical,8,16,N/B,4411
2018-02-01,504,01:25:00,Thursday,B'view and B'view station,Investigation,7,14,W/B,4447
2018-02-01,51,06:57:00,Thursday,,Investigation,20,34,E/B,4451
2018-02-01,511,15:49:00,Thursday,Dundas,Investigation,40,46,N/B,8308
2018-02-01,501,18:16:00,Thursday,Queen and Niagara,Investigation,6,12,E/B,4242
2018-02-01,501,22:11:00,Thursday,King and Spadina,Investigation,6,11,W/B,4200
2018-02-01,505,05:09:00,Thursday,Roncesvalles Yard,Held By,6,12,N/B,4078
2018-02-01,504,09:18:00,Thursday,Broadview/Gerrard,Held By,11,15,W/B,4133
2018-02-01,504,20:02:00,Thursday,Broadview and Queen,Held By,13,18,W/B,4199
2018-02-02,505,11:10:00,Friday,Dundas West STN,Utilized Off Route,6,12,W/B,4069
2018-02-02,505,14:57:00,Friday,Dundas & Broadview,Utilized Off Route,6,12,E/B,4179
2018-02-02,504,15:24:00,Friday,Roncy & Queen,Utilized Off Route,0,0,E/B,4197
2018-02-02,512,20:06:00,Friday,Gunns Loop,Utilized Off Route,7,14,E/B,4165
2018-02-02,504,05:47:00,Friday,Roncesvalles and Queen,Mechanical,7,11,W/B,4073
2018-02-02,514,06:26:00,Friday,Distillery loop,Mechanical,8,16,E/B,4458
