Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016-03-01,505,05:00:00,Tuesday,Dundas Route,General Delay,6,12,B/W,
2016-03-01,501,05:03:00,Tuesday,Queen at McCaul,Emergency Services,307,312,B/W,4041
2016-03-01,510,05:07:00,Tuesday,Union Stn,Held By,313,317,W/B,4414
2016-03-01,510,05:07:00,Tuesday,Spadina Route,General Delay,0,0,B/W,
2016-03-01,505,05:07:00,Tuesday,Dundas and River,Held By,313,319,W/B,4115
2016-03-01,505,05:07:00,Tuesday,Dundas and Munro,Held By,308,314,W/B,4024
2016-03-01,505,05:12:00,Tuesday,Dundas and University,Held By,308,314,W/B,4191
2016-03-01,506,05:36:00,Tuesday,Roncesvalles and Queen,Late Leaving Garage,7,12,E/B,4023
2016-03-01,501,05:38:00,Tuesday,Roncesvalles and Queen,Mechanical,21,11,W/B,4242
2016-03-01,501,05:45:00,Tuesday,Roncesvalles and Queen,Mechanical,8,20,W/B,4100
2016-03-01,511,06:26:00,Tuesday,Lakeshore / Bathurst,Mechanical,5,10,E/B,4065
2016-03-01,506,08:00:00,Tuesday,College and Yonge,General Delay,10,15,B/W,
2016-03-01,501,10:42:00,Tuesday,Lakeshore at Legion Rd,Investigation,10,20,W/B,4017
2016-03-01,501,12:49:00,Tuesday,Queen at Brock,Mechanical,5,10,E/B,4237
2016-03-01,509,14:01:00,Tuesday,Fleet Loop,Utilized Off Route,4,8,E/B,4080
2016-03-01,535,14:04:00,Tuesday,Roncesvalles Traffic Office.,Utilized Off Route,1,2,W/B,4067
2016-03-01,509,14:09:00,Tuesday,Fleet Loop,Utilized Off Route,4,8,E/B,4061
2016-03-01,505,15:51:00,Tuesday,Dundas at Broadview,General Delay,36,42,E/B,4115
2016-03-01,501,16:09:00,Tuesday,Humber Loop,Mechanical,5,11,E/B,4245
2016-03-01,505,16:39:00,Tuesday,Dundas at Sackville,Investigation,1,6,E/B,4127
2016-03-01,511,16:40:00,Tuesday,Bathurst Stn,Mechanical,6,12,N/B,4068
2016-03-01,504,17:01:00,Tuesday,Broadview and Withrow,Utilized Off Route,18,22,S/B,4047
2016-03-01,505,17:02:00,Tuesday,Braodview at Withrow,Mechanical,18,24,W/B,4020
2016-03-01,504,17:16:00,Tuesday,Sumach-Spadina,Emergency Services,0,302,W/B,4076
2016-03-01,501,17:16:00,Tuesday,Humber Loop,Mechanical,5,10,E/B,4210
