Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016-06-01,501,00:01:00,Wednesday,Queen St. West and Dufferin St.,Mechanical,9,18,E/B,1751
2016-06-01,504,00:48:00,Wednesday,King St. West and Yonge St.,Held By,5,11,W/B,4207
2016-06-01,501,00:52:00,Wednesday,Queen/John,Emergency Services,13,23,E/B,8392
2016-06-01,504,00:52:00,Wednesday,Dundas West STN,Mechanical,11,18,E/B,4106
2016-06-01,301,03:07:00,Wednesday,Lakeshore/Symons,Held By,99,129,W/B,4244
2016-06-01,501,05:23:00,Wednesday,Long Branch,Emergency Services,23,0,E/B,4001
2016-06-01,501,06:10:00,Wednesday,Queen and Connaught,Late Leaving Garage,5,10,E/B,4113
2016-06-01,504,06:41:00,Wednesday,Broadview and Queen,Mechanical,4,8,N/B,4037
2016-06-01,506,06:45:00,Wednesday,Gerrard and Broadview,Mechanical,5,10,E/B,4098
2016-06-01,506,07:14:00,Wednesday,Gerrard and Broadview,Mechanical,8,12,E/B,4173
2016-06-01,504,07:14:00,Wednesday,Broadview/Queen,Mechanical,4,8,W/B,
2016-06-01,501,07:17:00,Wednesday,Humber Loop,Mechanical,5,9,E/B,4209
2016-06-01,504,07:22:00,Wednesday,Broadview/Queen,Mechanical,4,8,W/B,
2016-06-01,504,07:26:00,Wednesday,Broadview/Queen,Mechanical,4,8,W/B,
2016-06-01,504,08:00:00,Wednesday,Broadview stn,General Delay,6,10,W/B,
2016-06-01,501,08:03:00,Wednesday,Lakeshore & Royal York,Held By,7,17,E/B,4013
2016-06-01,501,08:24:00,Wednesday,Queen and Connaught,Mechanical,5,9,E/B,4205
2016-06-01,501,08:30:00,Wednesday,Queen St ( Neville Park to Humber Loop),General Delay,30,35,B/W,
2016-06-01,501,08:45:00,Wednesday,Lakeshore & Royal York,Held By,10,10,E/B,4037
2016-06-01,506,08:45:00,Wednesday,Main Stn to Yonge St,General Delay,5,5,W/B,0
2016-06-01,505,08:50:00,Wednesday,howard park/roncy,Mechanical,15,20,E/B,4090
2016-06-01,506,08:50:00,Wednesday,Howard Park and Roncesvalles,Mechanical,15,19,E/B,4096
2016-06-01,503,09:09:00,Wednesday,Queen/Boulton,Mechanical,0,12,W/B,8156
2016-06-01,502,09:29:00,Wednesday,Sherbourne and Queen,Mechanical,10,20,E/B,8134
2016-06-01,501,09:30:00,Wednesday,Lakeshore & Royal York,Held By,7,17,E/B,4058
2016-06-01,504,09:52:00,Wednesday,Edna/Dundas w.,Investigation,20,24,E/B,4078
2016-06-01,501,10:14:00,Wednesday,Lakeshore & Royal York,Held By,6,16,E/B,4178
2016-06-01,504,10:23:00,Wednesday,King/Dufferin,Held By,6,10,E/B,4027
2016-06-01,504,11:56:00,Wednesday,Dundas w. stn,Mechanical,4,8,W/B,4037
2016-06-01,501,13:42:00,Wednesday,Queen and Kingston,Mechanical,4,8,W/B,4247
2016-06-01,504,14:40:00,Wednesday,Broadview and Queen,General Delay,12,16,B/W,4112
2016-06-01,506,15:51:00,Wednesday,Parliament and Gerrard,Mechanical,5,10,W/B,4056
2016-06-01,510,16:53:00,Wednesday,,Mechanical,0,0,N/B,4420
2016-06-01,512,17:11:00,Wednesday,St Clair at Glenholme,Investigation,23,26,E/B,4154
2016-06-01,504,17:13:00,Wednesday,Bingham Loop,Mechanical,10,20,E/B,7865
2016-06-01,505,17:28:00,Wednesday,St.Andrew and Spadina,General Delay,22,34,N/B,4420
2016-06-01,509,17:42:00,Wednesday,BMO Field / GO STATION CNE,Diversion,0,0,B/W,1799
2016-06-01,506,17:53:00,Wednesday,Howard Park and Roncesvalles,Held By,10,15,W/B,4131
2016-06-01,510,18:29:00,Wednesday,Charlotte Loop,Mechanical,74,6,S/B,4407
2016-06-01,506,19:00:00,Wednesday,Southbound Coxwell - south of Dundas,Diversion,0,0,S/B,4044
2016-06-01,504,19:10:00,Wednesday,Sherbourne and Dunbdas,Investigation,4,8,E/B,4027
2016-06-01,505,19:24:00,Wednesday,Sherborne and Dundas,General Delay,39,60,S/B,4166
2016-06-01,510,19:50:00,Wednesday,,Mechanical,0,0,N/B,4403
2016-06-01,512,20:01:00,Wednesday,St Clair at Christie,Investigation,18,23,E/B,4140
2016-06-01,510,21:33:00,Wednesday,Spadina Station,Mechanical,34,42,N/B,4415
2016-06-01,501,22:42:00,Wednesday,humber loop,Emergency Services,15,9,E/B,4076
2016-06-01,506,23:25:00,Wednesday,Broadview and Gerrard,Diversion,9,18,E/B,4104
2016-06-02,505,00:18:00,Thursday,Broadview stn,Mechanical,10,20,E/B,4186
2016-06-02,504,06:41:00,Thursday,Roncesvelles /King,Mechanical,3,6,E/B,4001
2016-06-02,501,07:26:00,Thursday,Queen and Peter,Investigation,8,13,W/B,4026
2016-06-02,504,08:06:00,Thursday,King/Sumach,Mechanical,4,8,E/B,4096
2016-06-02,506,08:10:00,Thursday,Parliament and Gerrard,Mechanical,4,8,E/B,4044
2016-06-02,504,08:10:00,Thursday,King/Sumach,Mechanical,10,14,E/B,4027
2016-06-02,501,12:26:00,Thursday,Queen and Spadina,Mechanical,5,10,W/B,4136
2016-06-02,504,12:40:00,Thursday,Simcoe,General Delay,14,18,W/B,4152
2016-06-02,512,12:43:00,Thursday,St Clair west station,Mechanical,2,5,E/B,4100
2016-06-02,506,13:40:00,Thursday,University to Jarvis,Held By,45,50,B/W,4018
2016-06-02,510,14:15:00,Thursday,spadina station,Mechanical,4,8,S/B,4419
2016-06-02,509,14:29:00,Thursday,Queensquay and Spadina,Held By,45,51,E/B,4112
2016-06-02,510,14:30:00,Thursday,spadina/queens quay,Mechanical,41,45,S/B,4407
2016-06-02,512,15:02:00,Thursday,St Clair West Stn,Investigation,4,7,E/B,4095
2016-06-02,511,16:15:00,Thursday,Fleet Loop,Investigation,6,12,S/B,4189
2016-06-02,504,16:23:00,Thursday,Dundas and Broadview,Mechanical,4,8,W/B,4179
2016-06-02,512,16:28:00,Thursday,St Clair & Dufferin,Investigation,23,26,W/B,4099
2016-06-02,504,16:29:00,Thursday,Roncy and Queen,Mechanical,16,20,S/B,4130
2016-06-02,501,16:36:00,Thursday,Lakeshore and Parklawn,Mechanical,10,20,E/B,4172
2016-06-02,510,16:45:00,Thursday,Queens Quay and Spadina loop,Mechanical,4,8,S/B,4420
2016-06-02,505,17:00:00,Thursday,Victoria,General Delay,10,15,B/W,
2016-06-02,504,17:08:00,Thursday,Roncy and Queen,Mechanical,4,8,S/B,4164
2016-06-02,510,17:11:00,Thursday,Queens Quay and Spadina,Mechanical,22,26,S/B,4416
2016-06-02,504,18:01:00,Thursday,Bathurst/St. Clair,Mechanical,4,7,W/B,4108
2016-06-02,510,18:15:00,Thursday,Union Tunnel,General Delay,45,49,E/B,4411
2016-06-02,509,18:15:00,Thursday,Queens Quay Tunnel @ Bay,Mechanical,30,35,E/B,4041
2016-06-02,501,21:11:00,Thursday,Queen/shaw,Mechanical,80,10,E/B,8219
2016-06-02,504,21:27:00,Thursday,Dundas West STN,Investigation,4,8,S/B,4090
2016-06-02,504,21:27:00,Thursday,Dundas West STN,Mechanical,4,8,S/B,4090
2016-06-02,510,21:49:00,Thursday,Union station tunnel,Held By,4,8,E/B,4420
2016-06-02,504,21:50:00,Thursday,Roncesvalles and Howard Park,Held By,17,25,S/B,4082
2016-06-02,504,22:35:00,Thursday,Roncesvalles and Howard Park,Held By,8,17,S/B,4194
2016-06-02,504,23:18:00,Thursday,Roncesvalles and Fermanagh,Held By,9,15,W/B,4029
2016-06-03,301,02:21:00,Friday,Neville loop,Emergency Services,21,19,E/B,4244
2016-06-03,301,03:13:00,Friday,Queen/Massey,Mechanical,1,18,W/B,4244
2016-06-03,504,04:57:00,Friday,Broadview and Queen,Utilized Off Route,4,8,E/B,4013
2016-06-03,504,05:20:00,Friday,Broadview and Queen,Mechanical,4,8,E/B,4067
2016-06-03,510,06:00:00,Friday,Spadina Stn to Union Stn,General Delay,4,8,B/W,
2016-06-03,505,06:00:00,Friday,High Park to Broadview Stn,General Delay,10,20,B/W,
2016-06-03,506,06:30:00,Friday,Broadview and Gerrard,Mechanical,4,8,E/B,4152
