Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016-10-01,85,00:40:00,Saturday,Markham Rd on Sheppard Ave East,Mechanical,10,20,W,9088
2016-10-01,6,00:40:00,Saturday,Bay and Richmond,Diversion,39,63,B/W,
2016-10-01,42,01:06:00,Saturday,Cummer at St John Hospital,Mechanical,20,40,EB,8302
2016-10-01,86,01:25:00,Saturday,Meadowvale and Generation,Emergency Services,11,23,N,7448
2016-10-01,113,01:48:00,Saturday,Main Stn,Mechanical,26,52,EB,7742
2016-10-01,113,01:58:00,Saturday,Main Stn,Utilized Off Route,26,52,EB,8123
2016-10-01,320,02:08:00,Saturday,Young / Eglington,Investigation,3,7,S,1511
2016-10-01,116,02:42:00,Saturday,Guildwood on Kingston rd,Mechanical,33,1,E,7551
2016-10-01,300,02:44:00,Saturday,Kennedy Station,Utilized Off Route,20,40,W,8078
2016-10-01,29,02:52:00,Saturday,Wilson Station,Utilized Off Route,3,6,S,8314
2016-10-01,320,03:56:00,Saturday,Young St. / York Mills Road,Mechanical,4,7,N,9000
2016-10-01,315,03:57:00,Saturday,Evans / Garroch Place,Diversion,30,60,W,8013
2016-10-01,325,04:25:00,Saturday,Freshmeadow and Steele Ave East,Mechanical,20,1,S,7464
2016-10-01,40,05:00:00,Saturday,Dundas West Station,General Delay,20,0,b/w,
2016-10-01,116,05:04:00,Saturday,Morningside Ave and Staines Rd,Late Leaving Garage,10,20,SB,7487
2016-10-01,46,05:13:00,Saturday,Kipling Station,Late Leaving Garage,10,0,n,8441
2016-10-01,116,05:34:00,Saturday,Morningside Ave and Stains Rd,Late Leaving Garage,10,20,SB,7570
2016-10-01,165,05:37:00,Saturday,Signet Dr and Steeles,Mechanical,8,1,e,1353
2016-10-01,80,05:45:00,Saturday,Windemere and The Queensway,Late Leaving Garage,0,29,w/b,8065
2016-10-01,69,05:46:00,Saturday,Danforth and Birchmount,Mechanical,1,1,S,8119
2016-10-01,102,05:50:00,Saturday,Warden Stn,Utilized Off Route,10,20,N,7793
2016-10-01,16,05:53:00,Saturday,Warden Station,Late Leaving Garage,25,30,EB,8166
2016-10-01,34,05:56:00,Saturday,Kennedy Station,Late Leaving Garage,15,30,WB,7505
2016-10-01,80,06:04:00,Saturday,Kipling and the Queensway,Diversion,104,132,w/b,8065
2016-10-01,12,06:09:00,Saturday,Kennedy Stn,Late Leaving Garage,7,41,W,8150
2016-10-01,15,06:10:00,Saturday,Evans and Alan Ave,Diversion,148,178,b/w,
2016-10-01,16,06:15:00,Saturday,Midland Ave and Danfoth Rd,Mechanical,15,30,EB,8166
2016-10-01,195,06:19:00,Saturday,Jane and Steeles,Mechanical,8,1,s,8549
2016-10-01,6,06:30:00,Saturday,Davenport and Dupont,Mechanical,30,60,S,1552
2016-10-01,131,06:30:00,Saturday,STC,Late Leaving Garage,18,1,N,1099
2016-10-01,86,06:40:00,Saturday,Kennedy Station,Mechanical,10,20,EB,7695
2016-10-01,133,06:42:00,Saturday,STC,Utilized Off Route,12,24,E,1269
2016-10-01,11,06:43:00,Saturday,Bayview & Blythwood,Mechanical,24,48,s,8341
2016-10-01,129,06:45:00,Saturday,Scarborough Town Center,Mechanical,9,18,NB,1783
2016-10-01,12,07:02:00,Saturday,Bingham Loop (Kingston Rd & Bingham Ave),Diversion,853,887,WB,7842
2016-10-01,32,07:06:00,Saturday,Eglinton West stn,Utilized Off Route,20,40,w,1537
2016-10-01,84,07:06:00,Saturday,Keele and Shephard,Investigation,10,20,w,1345
2016-10-01,76,07:09:00,Saturday,Royal York Station,Late Leaving Garage,0,30,s/b,8030
2016-10-01,196,07:20:00,Saturday,Commons York U,Late Leaving Garage,8,16,S,1688
2016-10-01,52,07:35:00,Saturday,Lawrence Stn,Mechanical,20,40,W,1608
2016-10-01,196,07:47:00,Saturday,Commons York U,Late Leaving Garage,8,16,S,8186
2016-10-01,102,08:20:00,Saturday,Warden stn,Utilized Off Route,10,20,N,7783
2016-10-01,199,08:21:00,Saturday,Scarborough Town Center,Late Leaving Garage,7,14,WB,1717
2016-10-01,191,08:26:00,Saturday,Humberline and Humber College,Mechanical,10,20,s/b,7946
2016-10-01,40,09:00:00,Saturday,Enitre Junction Route,General Delay,10,20,B/W,7925
2016-10-01,113,09:09:00,Saturday,Main stn,Late Leaving Garage,15,30,E,8110
2016-10-01,7,09:19:00,Saturday,Bathurst Stn,Mechanical,7,15,,9014
2016-10-01,29,09:20:00,Saturday,Wilson Station,Mechanical,3,7,S,8214
2016-10-01,17,09:29:00,Saturday,Warden Stn,Late Leaving Garage,15,30,N,8109
2016-10-01,21,09:37:00,Saturday,Kennedy Station,Late Leaving Garage,20,40,EB,8135
2016-10-01,6,09:45:00,Saturday,Bedford and Dupont,Late Leaving Garage,15,30,S,1657
2016-10-01,198,10:40:00,Saturday,Kennedy stn,Mechanical,10,20,down,7634
2016-10-01,196,10:40:00,Saturday,Downsview station .,Mechanical,16,32,70499,1554
2016-10-01,79,10:53:00,Saturday,Runnymede stn,Mechanical,20,40,N,1510
2016-10-01,12,10:58:00,Saturday,Woodbine Stn,Utilized Off Route,1,1,NB,7712
2016-10-01,195,11:08:00,Saturday,Shoreham,Mechanical,10,20,S,8530
2016-10-01,57,11:14:00,Saturday,Midland and Steeles,General Delay,15,30,SB,7880
2016-10-01,34,11:27:00,Saturday,Kennedys stn,Mechanical,8,16,up,7704
2016-10-01,47,11:45:00,Saturday,Queen and Mcdonell,Mechanical,18,34,N/B,1305
2016-10-01,190,11:52:00,Saturday,Don Mills STN,Late Leaving Garage,9,18,E/B,7610
2016-10-01,47,12:00:00,Saturday,Lansdown and Dundas to Lansdown and Queen,General Delay,20,28,B/W,
2016-10-01,21,12:10:00,Saturday,Kennedy Station,Late Leaving Garage,13,26,EB,8129
2016-10-01,85,12:26:00,Saturday,Sheppard and Birchmount,Investigation,6,17,W,1293
