Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016-05-01,116,00:18:00,Sunday,Eglinton Ave,Utilized Off Route,10,20,W,7681
2016-05-01,104,00:25:00,Sunday,Wilson Stn,Investigation,20,40,NB,8361
2016-05-01,25,00:37:00,Sunday,Don Mills Rd,Utilized Off Route,10,20,S,7673
2016-05-01,36,01:15:00,Sunday,humberwood loop,Mechanical,9,18,s/b,1298
2016-05-01,25,01:15:00,Sunday,Eglinton and DonMills,Mechanical,10,20,N,7496
2016-05-01,32,01:25:00,Sunday,Eglinton West Stn,Utilized Off Route,1,1,E/B,1236
2016-05-01,25,01:43:00,Sunday,Pape STN,Mechanical,10,20,N,7468
2016-05-01,329,02:15:00,Sunday,steeles and dufferin,Mechanical,20,40,s/b,
2016-05-01,300,02:28:00,Sunday,Eastmall and Bloor,Mechanical,15,45,E,8024
2016-05-01,329,02:50:00,Sunday,sheppard downsview stn,Mechanical,20,40,s/b,9041
2016-05-01,320,03:07:00,Sunday,yonge and yorkmills,Mechanical,4,8,s/b,9198
2016-05-01,329,03:10:00,Sunday,wilson and dufferin,Investigation,20,40,n/b,1804
2016-05-01,385,03:35:00,Sunday,McCowan and Sheppard,Mechanical,30,60,E,1315
2016-05-01,300,04:00:00,Sunday,Danforth and Danforth,Mechanical,30,60,E,8117
2016-05-01,6,05:00:00,Sunday,Entire route,General Delay,385,395,BW,
2016-05-01,56,06:00:00,Sunday,Holly to Eglinton stn,Diversion,240,240,BW,
2016-05-01,11,06:05:00,Sunday,Mt. Pleasant to Davisville stn,Diversion,250,250,W,
2016-05-01,300,06:49:00,Sunday,Pape on Bloor,Investigation,12,24,W,7809
2016-05-01,54,07:03:00,Sunday,Eglinton stn,Mechanical,6,12,eb,7469
2016-05-01,26,07:15:00,Sunday,Entire route,General Delay,255,279,BW,1209
2016-05-01,34,07:20:00,Sunday,Kennedy Station,Late Leaving Garage,15,25,WB,7446
2016-05-01,320,07:30:00,Sunday,Yonge & Steeles to Queens Quay,General Delay,20,40,B/W,
2016-05-01,102,07:32:00,Sunday,Markham & Steeles,Mechanical,10,15,E,7735
2016-05-01,34,07:35:00,Sunday,Eglinton and Yonge,Diversion,143,154,BW,
2016-05-01,100,07:35:00,Sunday,Eglinton and Yonge,Diversion,143,160,BW,
2016-05-01,54,07:35:00,Sunday,Eglinton and Yonge,Diversion,143,155,BW,
2016-05-01,54,07:45:00,Sunday,Eglinton station,Late Leaving Garage,15,30,EB,7443
2016-05-01,85,07:58:00,Sunday,Sheppard and Yonge,Diversion,20,97,B/W,1252
2016-05-01,124,08:00:00,Sunday,Lawrence and Yonge,Diversion,40,60,W,8362
2016-05-01,54,08:00:00,Sunday,Lawrence Pharmacy,Investigation,7,13,eb,7687
2016-05-01,126,08:03:00,Sunday,Mt Dennis garage,Late Leaving Garage,0,0,n,1581
2016-05-01,102,08:10:00,Sunday,warden stn.,Utilized Off Route,10,20,nb,7865
2016-05-01,103,08:10:00,Sunday,Holly to Eglinton stn,Diversion,120,140,BW,
2016-05-01,5,08:15:00,Sunday,Eglinton stn to St. Clair,Diversion,135,135,S,
2016-05-01,51,08:15:00,Sunday,Holly to Eglinton Stn,Diversion,105,105,BW,
2016-05-01,25,08:16:00,Sunday,Freshmeadow Dr and DonMills Rd,Late Leaving Garage,10,20,SB,7466
2016-05-01,63,08:25:00,Sunday,Ossington and Bloor St W,Utilized Off Route,10,20,n,1655
2016-05-01,5,08:30:00,Sunday,Queens Park Circle,Diversion,257,257,S,1814
2016-05-01,98,08:30:00,Sunday,Yonge and Sheppard,Diversion,105,135,BW,
2016-05-01,129,08:30:00,Sunday,Scarborough Town Centre,Late Leaving Garage,10,20,NB,1231
2016-05-01,28,08:30:00,Sunday,Mt. Pleasant to Davisville stn,Diversion,105,135,W,
2016-05-01,75,08:32:00,Sunday,Esplanade to King,Diversion,180,200,S,
2016-05-01,14,08:35:00,Sunday,Entire route,General Delay,10,30,B/W,
2016-05-01,47,08:35:00,Sunday,Yorkdale Mall,Late Leaving Garage,20,40,SB,1552
2016-05-01,97,08:40:00,Sunday,Finch to Davisville stn,Diversion,120,150,S,
2016-05-01,127,08:42:00,Sunday,Entire route,General Delay,180,202,BW,1006
2016-05-01,65,08:45:00,Sunday,on route,Diversion,15,30,sb,7792
2016-05-01,94,08:50:00,Sunday,Queens Park,Diversion,229,249,E,7774
2016-05-01,60,08:50:00,Sunday,Finch Station,Mechanical,13,26,W,1316
2016-05-01,33,08:53:00,Sunday,Bathurst and Roselawn to St. Clair W. stn,Diversion,113,143,S,
2016-05-01,86,08:56:00,Sunday,Kennedy Station,Late Leaving Garage,7,15,EB,7699
2016-05-01,7,08:59:00,Sunday,Village gate and Steeles,Mechanical,9,19,s,9029
2016-05-01,14,09:00:00,Sunday,Chaplin Cres and Duplex,Diversion,80,100,b,1325
2016-05-01,184,09:00:00,Sunday,Donmills and Lawrance,Mechanical,10,20,SB,7436
2016-05-01,40,09:00:00,Sunday,Entire Route,General Delay,12,30,b/w,
2016-05-01,96,09:07:00,Sunday,York Mills stn.,Mechanical,41,64,W,7916
2016-05-01,24,09:19:00,Sunday,Victoria Prk Stn,Utilized Off Route,9,18,N,7708
2016-05-01,54,09:44:00,Sunday,Eglinton and yonge,Utilized Off Route,16,32,EB,7521
2016-05-01,96,09:54:00,Sunday,Wilson and Jane,Mechanical,20,64,W,7936
2016-05-01,32,09:55:00,Sunday,Eglinton station,Emergency Services,10,20,WB,1587
2016-05-01,100,10:00:00,Sunday,Laird Dr and Eglinton Ave E,Emergency Services,20,40,WB,7542
2016-05-01,96,10:00:00,Sunday,Humber College Blvd. and Humberline,Diversion,17,34,,
2016-05-01,84,10:10:00,Sunday,Bradstock and Weston,Mechanical,9,19,E,8452
2016-05-01,52,10:11:00,Sunday,Westway and Islington,Mechanical,10,20,WB,1421
2016-05-01,6,10:15:00,Sunday,Davenport and Rathnallay Ave,Investigation,15,30,s,1030
2016-05-01,47,10:20:00,Sunday,Earlscourt Loop,Mechanical,20,40,s,1021
2016-05-01,36,10:41:00,Sunday,Humberwood Loop,Late Leaving Garage,5,10,E,1296
2016-05-01,41,11:00:00,Sunday,Keele and Rogers,Mechanical,10,20,s,1546
2016-05-01,89,11:00:00,Sunday,Keele and Dundas,General Delay,10,15,b,
2016-05-01,70,11:07:00,Sunday,Pharmacy and Craigton Dr,Mechanical,20,40,SB,7669
2016-05-01,199,11:11:00,Sunday,Finch & McCowan,Mechanical,8,16,EB,1132
2016-05-01,36,11:35:00,Sunday,Finch and Kipling,Investigation,5,10,E,1360
2016-05-01,102,11:44:00,Sunday,midland and steeles,Utilized Off Route,10,20,sb,7834
2016-05-01,88,11:45:00,Sunday,St. Clair at mount Pleasant,Diversion,7,47,E,8174
2016-05-01,37,11:50:00,Sunday,Humberwood Loop,Diversion,322,324,N/B,8082
2016-05-01,190,11:50:00,Sunday,Garage,Late Leaving Garage,7,14,W/B,7610
2016-05-01,191,12:00:00,Sunday,Humber College Blvd/Finch Ave,General Delay,10,20,B/W,8442
2016-05-01,36,12:00:00,Sunday,Humber College Blvd/ Humberline Dr,Diversion,5,10,B/W,8487
2016-05-01,29,12:33:00,Sunday,Wilson Stn,Mechanical,30,3,s,8395
2016-05-01,42,12:40:00,Sunday,Dynamic Drive at Turbina Ave.,Mechanical,16,32,W,8215
2016-05-01,29,12:48:00,Sunday,Springhurst loop,Mechanical,4,10,N,9009
2016-05-01,42,12:48:00,Sunday,Finch station,Mechanical,13,32,E,8307
2016-05-01,168,12:51:00,Sunday,Old Weston rd at Lavender Rd,Investigation,9,18,s/b,8057
2016-05-01,52,12:52:00,Sunday,Airport Rd and Derry Rd,Diversion,60,74,NB,1390
2016-05-01,53,12:56:00,Sunday,Finch Station,Mechanical,22,44,eb,1704
2016-05-01,73,13:00:00,Sunday,H-27 to Westmore,General Delay,20,30,B/W,
2016-05-01,118,13:12:00,Sunday,Jane Wilson,Mechanical,30,60,W,8536
2016-05-01,116,13:12:00,Sunday,Moriningside & Ellesmere,Emergency Services,7,15,W/B,7682
2016-05-01,161,13:23:00,Sunday,Jane and Lambton,Mechanical,15,30,EB,1516
2016-05-01,21,13:25:00,Sunday,2278 on Brimley rd.,Investigation,16,32,sb,7702
2016-05-01,98,13:34:00,Sunday,Willowdale Ave.  At Revcoe Dr.,Emergency Services,30,60,S,8168
2016-05-01,98,13:34:00,Sunday,Revcoe Dr. and Willowdale Ave.,Diversion,198,228,sb,8167
2016-05-01,38,13:35:00,Sunday,Ellesmere at Military Trail,Investigation,0,0,W,1070
2016-05-01,94,13:35:00,Sunday,Wellesley Stn,Mechanical,7,14,E,7873
2016-05-01,45,13:35:00,Sunday,Kipling and Markbrook,Mechanical,10,19,nb,8034
2016-05-01,96,13:42:00,Sunday,Clayson,Mechanical,17,34,E,1384
2016-05-01,11,13:54:00,Sunday,Sunnybrook hospital,Mechanical,12,24,n,8300
2016-05-01,7,14:00:00,Sunday,Steeles to Bathurst Station,General Delay,20,28,bw,
2016-05-01,85,14:03:00,Sunday,Don Mills Station,Utilized Off Route,5,11,E,1105
2016-05-01,63,14:47:00,Sunday,Eglinton and Dufferin,General Delay,170,176,B/w,
2016-05-01,67,14:50:00,Sunday,Pharmacy & Rannock St,Diversion,7,14,N/B,7453
2016-05-01,47,15:00:00,Sunday,Caledonia and Eglinton Ave W,Mechanical,18,36,s,1552
2016-05-01,80,15:00:00,Sunday,Entire Queensway Route,General Delay,20,40,B/W,8052
2016-05-01,96,15:00:00,Sunday,Humberline/Carrier Drive/ Humberline,General Delay,17,35,B/W,
2016-05-01,75,15:03:00,Sunday,Sherbourne and Dundas,Diversion,20,40,n,8353
2016-05-01,29,15:05:00,Sunday,Dufferin nd Lawrence,Mechanical,3,7,n,9044
