Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016-01-01,123,00:10:00,Friday,LONGBRANCH LOOP,Mechanical,24,48,N/B,8043
2016-01-01,112,00:25:00,Friday,KIPLING STN,Mechanical,18,36,N/B,8023
2016-01-01,736,01:03:00,Friday,ROYAL YORK AT ROMNEY RD,Investigation,20,40,N/B,8032
2016-01-01,94,01:10:00,Friday,Ossington Stn,Mechanical,10,20,SB,7745
2016-01-01,89,01:30:00,Friday,Keele Station,Mechanical,10,20,NB,1622
2016-01-01,64,01:50:00,Friday,main Stn,Mechanical,30,60,NB,7801
2016-01-01,60,02:00:00,Friday,steeles loop,Mechanical,11,22,e/b,1313
2016-01-01,87,02:05:00,Friday,Main stn,Utilized Off Route,10,20,NB,7707
2016-01-01,116,02:10:00,Friday,Markham and Eglinton,Mechanical,10,20,E,7603
2016-01-01,87,02:35:00,Friday,Main Stn,Mechanical,10,20,NB,7829
2016-01-01,66,03:02:00,Friday,LAKESHORE AND MARINE PARADE,Mechanical,30,60,N/B,8080
2016-01-01,72,03:15:00,Friday,Pape Stn,Mechanical,10,20,SB,7741
2016-01-01,45,03:20:00,Friday,STEELES LOOP,Mechanical,15,30,N/B,8064
2016-01-01,133,03:35:00,Friday,STC,Mechanical,13,26,SB,1725
2016-01-01,192,03:46:00,Friday,KIPLING STN,Mechanical,10,20,N/B,8000
2016-01-01,54,03:50:00,Friday,Donmills and Lawrence,Mechanical,15,25,W,7660
2016-01-01,9,04:02:00,Friday,Danforth and Danforth,Late Leaving Garage,30,60,NB,7712
2016-01-01,300,04:08:00,Friday,Danforth and Danforth,Late Leaving Garage,30,60,W/B,7712
2016-01-01,320,04:40:00,Friday,yonge and yorkmills,Investigation,4,8,n/b,1591
2016-01-01,41,05:14:00,Friday,Founders,Late Leaving Garage,20,40,s/b,1233
2016-01-01,85,05:45:00,Friday,Sheppard Station,Mechanical,20,40,E/B,1135
2016-01-01,320,05:53:00,Friday,SYON,Late Leaving Garage,3,7,S,8190
2016-01-01,300,05:58:00,Friday,Warden and Danforth,Mechanical,30,60,E/B,7602
2016-01-01,300,06:00:00,Friday,Entire Route,General Delay,20,50,B/W's,
2016-01-01,133,06:25:00,Friday,Morningside and Staines,Late Leaving Garage,4,0,S/B,1725
2016-01-01,36,06:26:00,Friday,Willington,Investigation,9,18,E,8442
2016-01-01,32,06:50:00,Friday,CastleKnock & Eglinton,Diversion,80,90,w/b,1033
2016-01-01,300,07:14:00,Friday,Woodbine and Danforth,Mechanical,27,60,E/B,7956
2016-01-01,89,07:15:00,Friday,Weston/Black Creek,Mechanical,15,30,N,1509
2016-01-01,52,07:24:00,Friday,Lawrence & Yonge,Late Leaving Garage,20,40,w/b,1415
2016-01-01,75,07:31:00,Friday,Wilson Stn,Mechanical,1,1,S/B,8306
2016-01-01,300,07:45:00,Friday,Bloor and East Mall,Mechanical,12,24,E/B,7489
2016-01-01,37,07:54:00,Friday,Woodbine Race Track,Emergency Services,24,48,S/B,8054
2016-01-01,320,07:58:00,Friday,Rose Hill and Yonge St,Late Leaving Garage,3,6,N,9418
2016-01-01,84,08:07:00,Friday,Rivalda and Sheppard,Late Leaving Garage,10,15,W,8436
2016-01-01,41,08:10:00,Friday,Founders,Late Leaving Garage,10,20,s/b,1616
2016-01-01,106,08:16:00,Friday,York Commons,Mechanical,30,60,S/B,8151
2016-01-01,23,08:28:00,Friday,Main stn.,Late Leaving Garage,16,16,NB,7793
2016-01-01,165,08:30:00,Friday,York Mills Station,Late Leaving Garage,10,1,W,1258
2016-01-01,65,08:33:00,Friday,Castle Frank stn.,Late Leaving Garage,15,30,SB,7816
2016-01-01,195,08:35:00,Friday,York U / Commons,Late Leaving Garage,10,20,S,1276
2016-01-01,41,08:40:00,Friday,Rustic & Keele,Mechanical,10,20,s/b,1616
2016-01-01,85,08:40:00,Friday,Don Mills Station,Late Leaving Garage,16,24,E/B,1084
2016-01-01,35,08:50:00,Friday,Peter Kaiser and Steeles,Mechanical,11,22,S,8411
2016-01-01,24,08:53:00,Friday,Victoria Park stn,Mechanical,9,15,NB,7701
2016-01-01,91,09:02:00,Friday,Valley woods rd. & York Mills rd.,Late Leaving Garage,24,48,SB,7703
2016-01-01,25,09:03:00,Friday,Pape Station,Late Leaving Garage,6,12,NB,7674
2016-01-01,32,09:10:00,Friday,Eglinton stn,Late Leaving Garage,10,20,w/b,1627
2016-01-01,36,09:11:00,Friday,Humberwood Loop,Late Leaving Garage,7,14,W,1338
2016-01-01,41,09:15:00,Friday,Keele & Rogers,Mechanical,10,20,n/b,1013
2016-01-01,34,09:28:00,Friday,Warden Ave and Eglinton Ave E,Emergency Services,9,18,EB,7610
2016-01-01,95,09:30:00,Friday,York Mills Station,Late Leaving Garage,20,40,E/B,1827
2016-01-01,115,09:32:00,Friday,York Mills/Leslie,Mechanical,30,60,W/B,8211
2016-01-01,67,09:33:00,Friday,Victoria Park Station,Late Leaving Garage,24,48,NB,7478
2016-01-01,25,09:35:00,Friday,Pape Station,Late Leaving Garage,6,12,NB,7606
2016-01-01,36,09:39:00,Friday,FSTN,Investigation,7,14,W,1263
2016-01-01,95,10:28:00,Friday,Bayview and York Mills,Investigation,20,40,W/B,1786
2016-01-01,25,10:36:00,Friday,Freshmeadow Dr and Donmills Rd,Mechanical,6,12,SB,7622
2016-01-01,106,10:40:00,Friday,Downsview Stn,Utilized Off Route,15,30,N/B,8365
2016-01-01,7,10:53:00,Friday,Bathurst/St. Clair,Investigation,7,14,S/B,8199
2016-01-01,89,10:56:00,Friday,Weston and Albion,Late Leaving Garage,11,21,s/b,1409
2016-01-01,168,11:06:00,Friday,Avon Loop,Late Leaving Garage,7,16,S/B,7964
