Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-10-01,52,00:50:00,Monday,Mcnaughton and Airport,Mechanical,20,20,E/B,1243
2018-10-01,53,01:15:00,Monday,Kennedy and steeles,Utilized Off Route,10,20,W/B,1523
2018-10-01,39,01:15:00,Monday,Kennedy and finch,Utilized Off Route,10,20,W/B,1651
2018-10-01,706,01:17:00,Monday,WAST,Utilized Off Route,1,1,E/B,8439
2018-10-01,60,01:51:00,Monday,Village Gate and Steeles,Emergency Services,17,34,EB,8499
2018-10-01,302,04:11:00,Monday,Birchmount and Kingston,Emergency Services,30,60,N/B,8489
2018-10-01,57,04:24:00,Monday,Midland and Steeles,Late Leaving Garage,1,20,S/B,8646
2018-10-01,72,04:34:00,Monday,Front / Bay,Late Leaving Garage,30,60,S/B,7869
2018-10-01,20,04:50:00,Monday,Main Station,Late Leaving Garage,20,40,E/B,8936
2018-10-01,96,04:54:00,Monday,Arow garage POD Finch & Humberline,Late Leaving Garage,13,18,E/B,3161
2018-10-01,67,05:05:00,Monday,Danforth and Victoria Park,Late Leaving Garage,1,24,N/B,8728
2018-10-01,86,05:10:00,Monday,Sheppard Loop,Late Leaving Garage,16,27,S/B,8639
2018-10-01,112,05:12:00,Monday,REGW,Late Leaving Garage,15,30,S/B,7975
2018-10-01,84,05:16:00,Monday,Sheppard Station,Late Leaving Garage,9,19,W/B,3245
2018-10-01,84,05:16:00,Monday,PVST,Late Leaving Garage,20,40,E/B,
2018-10-01,67,05:16:00,Monday,Danforth & Victoria Park,Mechanical,1,24,N/B,8631
2018-10-01,87,05:17:00,Monday,MAIN STATION,Late Leaving Garage,5,10,W/B,8963
2018-10-01,84,05:20:00,Monday,RISH,Late Leaving Garage,24,55,E/B,3166
2018-10-01,30,05:22:00,Monday,HPSTN,Late Leaving Garage,20,40,W/B,8049
2018-10-01,40,05:23:00,Monday,Dundas w stn,Late Leaving Garage,6,12,N/B,8006
2018-10-01,72,05:33:00,Monday,pape station,Mechanical,17,34,S/B,7789
2018-10-01,300,05:33:00,Monday,Danforth and Danforth,Mechanical,10,35,W/B,8684
2018-10-01,16,05:35:00,Monday,warden station,Mechanical,18,36,S/B,7872
2018-10-01,165,05:39:00,Monday,Jane & Wilson,Mechanical,5,15,E/B,1336
2018-10-01,171,05:40:00,Monday,Mount Dennis Division,Mechanical,20,20,S/B,1005
2018-10-01,52,05:41:00,Monday,Martin Grove & Westway,Late Leaving Garage,12,24,E/B,1406
2018-10-01,17,05:42:00,Monday,warden station,Mechanical,1,1,S/B,8108
2018-10-01,77,05:50:00,Monday,RUST,Late Leaving Garage,10,25,S/B,1250
2018-10-01,34,05:50:00,Monday,Kennedy station,Late Leaving Garage,4,8,W/B,8756
2018-10-01,66,05:50:00,Monday,OLDMILL STN,Mechanical,20,40,N/B,8058
2018-10-01,84,05:51:00,Monday,SARR,Late Leaving Garage,5,11,E/B,3141
2018-10-01,90,05:56:00,Monday,wilson garage,Late Leaving Garage,5,10,S/B,1283
2018-10-01,168,05:58:00,Monday,AVLP,Late Leaving Garage,5,14,S/B,1037
2018-10-01,69,05:58:00,Monday,DF and Birchmount,Late Leaving Garage,1,1,S/B,8419
2018-10-01,35,06:00:00,Monday,PVST,Mechanical,9,18,S/B,3277
2018-10-01,54,06:06:00,Monday,Eglinton STN,Late Leaving Garage,9,18,E/B,8741
2018-10-01,16,06:10:00,Monday,warden station,Utilized Off Route,18,36,S/B,8941
2018-10-01,79,06:10:00,Monday,Pine & Lawrence,Mechanical,20,28,S/B,1068
2018-10-01,7,06:12:00,Monday,wilson garage,Late Leaving Garage,9,18,S/B,9015
