Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014-07-01,506,00:18:00,Tuesday,upper gerrard and coxwell,Held By,8,18,W/B,4059
2014-07-01,301,05:16:00,Tuesday,Queen at Church,Mechanical,80,1,W/B,4235
2014-07-01,501,05:24:00,Tuesday,Queen at Church,Mechanical,66,1,W/B,4220
2014-07-01,501,08:00:00,Tuesday,Queen at Coxwell,Mechanical,10,20,W/B,4239
2014-07-01,509,09:02:00,Tuesday,Exhibition Place,Mechanical,5,10,E/B,8305
2014-07-01,505,09:02:00,Tuesday,Dundas West Station.,Mechanical,8,16,W/B,4136
2014-07-01,501,10:19:00,Tuesday,Roncesvalles Yard,Mechanical,20,25,W/B,4221
2014-07-01,501,10:20:00,Tuesday,Roncesvalles yard,Mechanical,25,35,W/B,4027
2014-07-01,504,10:35:00,Tuesday,King and Jameson,Mechanical,5,10,E/B,4035
2014-07-01,501,10:39:00,Tuesday,Russell carhouse,Mechanical,5,10,E/B,4234
2014-07-01,501,10:39:00,Tuesday,Roncesvalles yard,Mechanical,9,19,W/B,4244
2014-07-01,506,11:36:00,Tuesday,College and Ossington,Mechanical,8,16,E/B,4030
2014-07-01,501,11:42:00,Tuesday,Queen at Dovercourt,Mechanical,14,20,E/B,4027
2014-07-01,504,12:14:00,Tuesday,King and John,Held By,16,21,B/W,4004
2014-07-01,501,12:19:00,Tuesday,Neville loop,Mechanical,6,12,W/B,4207
2014-07-01,501,12:27:00,Tuesday,Queen and University,Held By,13,18,B/W,4249
2014-07-01,506,12:37:00,Tuesday,College and Lansdowne,Investigation,11,18,E/B,4053
2014-07-01,505,12:39:00,Tuesday,Dundas and University,Held By,12,17,B/W,4185
2014-07-01,505,14:05:00,Tuesday,Dundas and Yonge,Mechanical,26,31,W/B,4148
2014-07-01,511,15:12:00,Tuesday,Fleet Loop,Mechanical,5,10,E/B,4247
2014-07-01,511,15:45:00,Tuesday,fleet and bathurst,Mechanical,4,8,S/B,4108
2014-07-01,506,15:52:00,Tuesday,calaw and gerrard,Mechanical,6,12,W/B,4185
2014-07-01,509,16:30:00,Tuesday,Lake Shore at Stadium.,Mechanical,4,8,W/B,8179
2014-07-01,509,16:40:00,Tuesday,CNE loop.,Investigation,4,8,E/B,7333
2014-07-01,509,16:51:00,Tuesday,Queens Quay at Rees,Held By,10,14,W/B,8305
2014-07-01,511,18:03:00,Tuesday,bathurst and dundas,Mechanical,5,10,N/B,4143
2014-07-01,512,19:58:00,Tuesday,St Clair West Stn,Mechanical,13,21,W/B,4058
2014-07-01,506,21:26:00,Tuesday,main station,Investigation,7,14,W/B,4057
2014-07-01,501,21:30:00,Tuesday,Woodbine Ave. to Lower Gerrard St.,General Delay,40,49,B/W,
2014-07-02,501,01:11:00,Wednesday,Gerrard and River,Mechanical,9,18,W/B,4210
2014-07-02,501,04:44:00,Wednesday,Russell yard,Mechanical,13,1,E/B,4205
2014-07-02,501,05:00:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,10,20,W/B,4247
2014-07-02,301,05:03:00,Wednesday,Lakeshore at 5th,Held By,30,1,E/B,4098
2014-07-02,512,05:19:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,5,10,E/B,4121
2014-07-02,501,05:39:00,Wednesday,Neville loop,Mechanical,10,20,W/B,4239
2014-07-02,506,05:42:00,Wednesday,Main St Station,Mechanical,6,18,W/B,4062
2014-07-02,509,05:45:00,Wednesday,Wilson Garage,Mechanical,3,6,E/B,9448
2014-07-02,512,05:56:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,5,10,E/B,4031
2014-07-02,501,05:57:00,Wednesday,Roncesvalles and Queen,Late Leaving Garage,10,20,W/B,4235
2014-07-02,504,05:57:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,4,8,W/B,4174
2014-07-02,512,05:58:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,5,10,E/B,4119
2014-07-02,505,05:59:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,8,16,E/B,4101
2014-07-02,511,06:00:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,5,10,E/B,4144
2014-07-02,506,06:01:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,7,14,E/B,4057
2014-07-02,505,06:02:00,Wednesday,Bathurst and Dundas,Mechanical,5,10,E/B,4000
2014-07-02,512,06:03:00,Wednesday,St Clair West Station,Mechanical,3,6,E/B,4163
2014-07-02,501,06:05:00,Wednesday,Queensway at Southport,Mechanical,8,13,W/B,4201
2014-07-02,509,06:05:00,Wednesday,Wilson Garage,Mechanical,3,6,N/B,9439
2014-07-02,511,06:06:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,5,10,E/B,4144
2014-07-02,506,06:08:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,7,14,E/B,4126
2014-07-02,512,06:12:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,5,10,E/B,4189
2014-07-02,501,06:18:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,10,20,W/B,4052
2014-07-02,506,06:25:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,8,16,E/B,4099
2014-07-02,510,06:27:00,Wednesday,Spadina and Dundas,Mechanical,7,13,S/B,4018
2014-07-02,504,06:38:00,Wednesday,Roncy and Howard Park,Mechanical,3,6,E/B,4148
2014-07-02,501,06:38:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,10,20,W/B,4233
2014-07-02,504,07:15:00,Wednesday,Roncy and Marion,Held By,3,6,E/B,4002
2014-07-02,504,07:30:00,Wednesday,Roncy and Marion,Mechanical,3,6,N/B,4218
2014-07-02,510,07:45:00,Wednesday,Spadina Station,Mechanical,2,4,S/B,4127
2014-07-02,501,07:59:00,Wednesday,Lakeshore at 31st,Mechanical,11,21,E/B,4205
2014-07-02,501,08:08:00,Wednesday,Kingston road at Woodbine loop,Investigation,1,1,N/B,4235
2014-07-02,503,08:21:00,Wednesday,Queen and Church,Investigation,10,20,E/B,7531
2014-07-02,504,09:44:00,Wednesday,King and Niagra,Investigation,66,70,E/B,4076
2014-07-02,506,12:23:00,Wednesday,Carlton and Sauroren,Mechanical,5,10,W/B,4042
2014-07-02,504,14:48:00,Wednesday,Parliament and Queen,Mechanical,3,69,E/B,4151
2014-07-02,506,15:00:00,Wednesday,Howard Park and Roncesvalles,Held By,8,13,E/B,4062
2014-07-02,504,16:00:00,Wednesday,Broadview at gerard,Mechanical,4,8,E/B,4073
2014-07-02,511,16:25:00,Wednesday,Exhibition Loop,Held By,71,75,E/B,4178
2014-07-02,509,16:25:00,Wednesday,Fleet & Strachan,Mechanical,4,8,E/B,9434
2014-07-02,506,17:20:00,Wednesday,Parliament & Carlton,Held By,13,18,W/B,4055
2014-07-02,501,17:30:00,Wednesday,Queen & Bathurst,Investigation,6,11,W/B,4215
2014-07-02,509,17:45:00,Wednesday,Exhibition Loop,Utilized Off Route,4,8,E/B,9439
2014-07-02,509,18:13:00,Wednesday,Wellington and Yonge,Mechanical,4,9,W/B,9410
2014-07-02,509,18:23:00,Wednesday,Exhibition Loop,Mechanical,4,8,E/B,9435
2014-07-02,501,18:44:00,Wednesday,Queen & Palmerston,Investigation,15,20,W/B,4230
2014-07-02,504,20:00:00,Wednesday,King at Young,Held By,12,17,W/B,4189
2014-07-02,501,23:23:00,Wednesday,Lakeshore Blvd. and 3rd St.,Mechanical,5,23,E/B,4226
2014-07-03,501,00:35:00,Thursday,Woodbine Loop,Mechanical,9,18,W/B,7636
2014-07-03,501,00:46:00,Thursday,Parliament and Dundas,Mechanical,9,18,S/B,4219
2014-07-03,301,03:34:00,Thursday,Queen St. East and Parliament St.,Mechanical,30,60,W/B,4233
2014-07-03,512,05:13:00,Thursday,St Clair and Arlington,Mechanical,11,22,W/B,4172
2014-07-03,501,05:30:00,Thursday,Neville Park Loop,Late Leaving Garage,10,20,W/B,4204
2014-07-03,509,05:40:00,Thursday,Willson Garage,Mechanical,6,12,E/B,9415
2014-07-03,501,05:50:00,Thursday,Queen and Roncesvalles,Late Leaving Garage,10,20,W/B,4247
2014-07-03,511,06:13:00,Thursday,Queen and Roncesvalles,Late Leaving Garage,5,10,E/B,4167
2014-07-03,506,06:21:00,Thursday,Queen and Roncesvalles,Late Leaving Garage,7,14,W/B,4042
2014-07-03,511,06:29:00,Thursday,Queen and Roncesvalles,Late Leaving Garage,5,10,E/B,4065
2014-07-03,506,06:57:00,Thursday,Queen and Roncesvalles,Late Leaving Garage,7,14,E/B,4051
2014-07-03,506,08:00:00,Thursday,High Park to Main STN,General Delay,15,20,B/W,
2014-07-03,506,08:15:00,Thursday,College and Dufferin,Mechanical,11,16,W/B,4042
2014-07-03,506,08:15:00,Thursday,College and Dufferin,Mechanical,5,10,W/B,4106
2014-07-03,511,08:18:00,Thursday,CNE Loop,Mechanical,5,10,E/B,4167
2014-07-03,501,09:19:00,Thursday,HUMBER LOOP,Mechanical,20,30,W/B,4217
2014-07-03,501,09:31:00,Thursday,Roncesvalles and Queen,Mechanical,10,20,W/B,4248
2014-07-03,501,11:26:00,Thursday,BEECH and QUEEN E.,Held By,8,16,W/B,4251
2014-07-03,501,12:46:00,Thursday,Parliament and Dundas,Mechanical,14,6,W/B,4207
2014-07-03,511,12:53:00,Thursday,Bathurst STN,Mechanical,5,10,S/B,4188
2014-07-03,504,13:00:00,Thursday,Broadview Stn / Dundas West Stn,General Delay,12,16,B/W,4141
2014-07-03,510,13:10:00,Thursday,Spadina at Queen,Utilized Off Route,3,5,S/B,4085
2014-07-03,504,14:00:00,Thursday,Broadview Ave. to Spadina Ave.,General Delay,22,6,B/W,
2014-07-03,506,14:02:00,Thursday,Carlton and Ontario,Mechanical,5,10,E/B,4132
2014-07-03,506,14:19:00,Thursday,College and Crawford,Emergency Services,28,33,E/B,4003
2014-07-03,501,14:40:00,Thursday,Queen at Church,Mechanical,17,23,E/B,4209
2014-07-03,504,15:34:00,Thursday,King St. and Bathurst St.,Mechanical,2,4,E/B,4110
2014-07-03,506,16:20:00,Thursday,Parliament and Gerard,Held By,29,33,W/B,4193
2014-07-03,505,16:54:00,Thursday,Lansdowne and Dundas,Mechanical,5,10,W/B,4112
2014-07-03,512,17:17:00,Thursday,St Clair and Keele,Investigation,5,10,E/B,4121
2014-07-03,501,17:54:00,Thursday,Queen and Victoria,Mechanical,10,16,E/B,4201
2014-07-03,501,18:10:00,Thursday,Queen and Church,Mechanical,6,12,W/B,4233
2014-07-03,501,18:52:00,Thursday,Dundas West Station,Mechanical,17,20,E/B,4032
2014-07-03,505,18:52:00,Thursday,Dundas West Station,Mechanical,6,11,E/B,4131
2014-07-03,509,19:01:00,Thursday,CNE Loop,Utilized Off Route,4,8,E/B,9421
2014-07-03,509,19:01:00,Thursday,CNE Loop,Utilized Off Route,4,8,E/B,8091
2014-07-03,511,20:31:00,Thursday,Bathurst at Queen,Mechanical,16,22,S/B,4135
2014-07-03,511,20:31:00,Thursday,Bathurst St. at Queen,Utilized Off Route,4,20,S/B,4177
2014-07-04,501,05:40:00,Friday,Queen and Roncesvalles,Late Leaving Garage,10,20,W/B,4204
2014-07-04,505,05:42:00,Friday,Broadview and Gerrard,Held By,21,27,E/B,4138
2014-07-04,506,05:47:00,Friday,Gerrard and Broadview,Held By,17,17,E/B,4129
2014-07-04,504,05:49:00,Friday,Broadview and Gerrard,Held By,14,23,E/B,4143
2014-07-04,501,05:50:00,Friday,Queen and Roncesvalles,Late Leaving Garage,10,20,W/B,4248
2014-07-04,504,06:50:00,Friday,King and Church,Mechanical,4,8,WB,4152
2014-07-04,511,06:55:00,Friday,Exhibition Loop,Mechanical,4,8,N/B,4186
2014-07-04,508,07:16:00,Friday,Queen and Roncesvalles,Late Leaving Garage,12,24,W/B,4051
2014-07-04,506,08:00:00,Friday,Main Station - High Park,General Delay,24,12,B/W,
2014-07-04,504,09:15:00,Friday,Dundas West Station,Mechanical,2,4,E/B,4070
2014-07-04,501,09:30:00,Friday,RONCESVALLES and QUEEN,Mechanical,10,20,W/B,4248
2014-07-04,505,09:33:00,Friday,Church and Queen,Mechanical,5,10,S/B,4155
2014-07-04,501,09:54:00,Friday,Queen and Neville Park,Investigation,41,46,E/B,4220
2014-07-04,504,10:08:00,Friday,KING AND  SPADINA,Held By,36,39,W/B,4154
2014-07-04,510,10:35:00,Friday,Spadina and King,Mechanical,28,31,N/B,4071
2014-07-04,510,10:35:00,Friday,Spadina and King,Utilized Off Route,28,31,N/B,4043
2014-07-04,504,10:35:00,Friday,King and Spadina,Held By,12,16,W/B,4176
2014-07-04,510,11:05:00,Friday,Bathurst and King,Mechanical,3,6,N/B,4101
2014-07-04,511,11:07:00,Friday,Bathurst and King,Utilized Off Route,26,31,N/B,4159
2014-07-04,511,11:07:00,Friday,Bathurst and King,Held By,20,24,N/B,4034
2014-07-04,511,11:49:00,Friday,Exhibition Loop,Mechanical,4,8,N/B,4120
2014-07-04,501,12:42:00,Friday,Queen and Church,Emergency Services,13,19,E/B,4116
2014-07-04,501,13:50:00,Friday,Queen at Kingston Road,Held By,47,52,E/B,4052
2014-07-04,501,14:02:00,Friday,Queen and Coxwell,Held By,18,24,E/B,4052
2014-07-04,510,14:50:00,Friday,king and spadina,Mechanical,12,15,S/B,4066
2014-07-04,512,16:10:00,Friday,St. Clair West Station,Mechanical,4,8,E/B,4178
2014-07-04,505,17:00:00,Friday,Dundas West Stn to Broadview Stn,General Delay,20,12,B/W,
2014-07-04,512,17:10:00,Friday,St. Clair at Dunvegan,Mechanical,4,8,W/B,4158
2014-07-04,512,17:35:00,Friday,St. Clair and Robina,Utilized Off Route,4,8,E/B,4197
2014-07-04,504,18:00:00,Friday,Roncesvalles and Howard Park,Mechanical,4,8,WB,4199
2014-07-04,501,18:10:00,Friday,Parliament at Dundas,Mechanical,22,28,E/B,4212
2014-07-04,501,18:17:00,Friday,Parliament north of Dundas St. E.,Mechanical,22,26,E/B,4212
2014-07-04,505,18:42:00,Friday,Dundas St. W. at Shaw St.,Investigation,35,40,E/B,4064
2014-07-04,509,18:45:00,Friday,CNE,Utilized Off Route,5,10,E/B,7976
2014-07-04,509,18:45:00,Friday,CNE,Utilized Off Route,5,10,E/B,7969
2014-07-04,505,18:54:00,Friday,Dundas and Parliament,Diversion,82,89,E/B,4017
2014-07-04,501,19:00:00,Friday,Parliament at Dundas,Mechanical,15,22,E/B,4215
2014-07-04,504,19:03:00,Friday,Dundas West Station,Mechanical,4,8,E/B,4176
2014-07-04,504,19:31:00,Friday,Parliament at Dundas St.,Diversion,45,50,E/B,4000
2014-07-04,501,19:31:00,Friday,Parliament at Dundas,Diversion,45,50,E/B,4223
2014-07-04,501,19:31:00,Friday,Queen St. W. at Bay St.,Investigation,5,10,W/B,4220
2014-07-04,509,19:38:00,Friday,CNE LOOP,Utilized Off Route,4,8,E/B,7316
