Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014-12-01,510,01:28:00,Monday,Spadina and Oxford,Emergency Services,77,87,B/W,4124
2014-12-01,306,03:59:00,Monday,Gerrard and Kingsmount Park Rd.,Investigation,41,71,W/B,4044
2014-12-01,512,05:02:00,Monday,Exhibition Loop,Late Leaving Garage,8,16,W/B,4171
2014-12-01,504,05:36:00,Monday,Queen and Roncesvalles,Late Leaving Garage,6,12,E/B,4233
2014-12-01,506,05:52:00,Monday,Coxwell and Gerrard,Mechanical,4,8,E/B,4077
2014-12-01,509,06:04:00,Monday,Bathurst and King,Mechanical,9,18,W/B,4041
2014-12-01,504,06:37:00,Monday,Broadview and King,Mechanical,7,14,W/B,4143
2014-12-01,506,07:01:00,Monday,Gerrard at Coxwell,Investigation,14,18,E/B,4043
2014-12-01,504,07:06:00,Monday,Broadview and Queen,Mechanical,2,4,W/B,4186
2014-12-01,510,07:36:00,Monday,Spadina/Queen,Mechanical,2,4,N/B,4108
2014-12-01,504,08:27:00,Monday,King and Dunn,Held By,16,18,B/W,4228
2014-12-01,501,09:25:00,Monday,Queen St. E. at Leuty Ave.,Held By,69,74,W/B,4216
2014-12-01,501,10:11:00,Monday,Queen St. W. at Dovercourt.,Mechanical,23,23,W/B,4201
2014-12-01,511,10:58:00,Monday,Bathurst stn,Investigation,11,15,S/B,4120
2014-12-01,506,11:00:00,Monday,Bathurst station,Held By,5,10,E/B,4100
2014-12-01,504,11:59:00,Monday,King and Bathurst,Emergency Services,7,11,W/B,4211
2014-12-01,506,13:43:00,Monday,Gerrard at Parliament,Investigation,11,16,W/B,4029
2014-12-01,509,14:10:00,Monday,Queens Quay/Harbour Sq,Held By,10,17,S/B,4107
2014-12-01,510,14:10:00,Monday,Queens Quay/Harbour Sq.,Mechanical,10,16,W/B,4404
2014-12-01,510,14:20:00,Monday,Spadina Stn,Mechanical,2,4,S/B,4153
2014-12-01,510,14:36:00,Monday,Spadina/College,Investigation,17,19,N/B,4133
2014-12-01,511,14:38:00,Monday,Bathurst Stn,Investigation,5,10,S/B,4151
2014-12-01,504,15:33:00,Monday,King and Spadina,Investigation,2,3,W/B,7716
2014-12-01,501,15:36:00,Monday,Queen and Yonge,Mechanical,14,19,W/B,4248
2014-12-01,501,15:39:00,Monday,Queen and Bathurst,Held By,25,30,W/B,4241
2014-12-01,504,15:39:00,Monday,Roncesvalles and Howard Park,Held By,6,9,E/B,4079
2014-12-01,504,16:02:00,Monday,Gerrard and Blackburn,Mechanical,1,3,E/B,1054
2014-12-01,504,16:43:00,Monday,Broadview and Queen,Mechanical,2,3,E/B,7784
2014-12-01,501,18:24:00,Monday,Queen and Carlaw,Investigation,25,30,W/B,4243
2014-12-01,501,18:57:00,Monday,Queen and Strachan,Mechanical,5,10,E/B,4104
2014-12-01,501,19:04:00,Monday,Queen and Parliament,Mechanical,7,12,W/B,4223
2014-12-01,501,20:10:00,Monday,Humber Loop,Investigation,5,11,E/B,4030
2014-12-01,510,21:12:00,Monday,Adelaide and Spadina,Mechanical,0,0,S/B,4404
2014-12-01,510,22:12:00,Monday,Spadina and Adelaide,Utilized Off Route,5,10,S/B,4172
2014-12-02,301,02:13:00,Tuesday,Queen and Greenwood,Held By,28,37,B/W,4216
2014-12-02,505,05:12:00,Tuesday,Broadview Station,Mechanical,18,0,W/B,4110
2014-12-02,504,05:16:00,Tuesday,Queen and Roncesvalles,Late Leaving Garage,4,8,E/B,4000
2014-12-02,510,05:36:00,Tuesday,Queen and Roncesvalles,Late Leaving Garage,4,8,E/B,4404
2014-12-02,501,06:01:00,Tuesday,Humber Loop,Mechanical,5,11,E/B,4229
2014-12-02,502,06:30:00,Tuesday,Queen St. E. at Connaught.,Mechanical,12,24,E/B,4114
2014-12-02,501,06:45:00,Tuesday,Connaught and Queen,Mechanical,6,12,W/B,4222
2014-12-02,511,07:01:00,Tuesday,Bathurst/Wolseley,Mechanical,6,10,N/B,4017
2014-12-02,511,07:02:00,Tuesday,Exhibiton loop,Mechanical,4,8,E/B,4156
2014-12-02,501,08:04:00,Tuesday,Queensway at Roncesvalles.,Mechanical,5,10,E/B,4227
2014-12-02,510,09:01:00,Tuesday,Spadina/King,Mechanical,14,20,S/B,4069
2014-12-02,510,09:23:00,Tuesday,Spadina/Queens Quay,General Delay,6,12,S/B,4404
2014-12-02,505,10:09:00,Tuesday,Mcaul and Queen,Held By,7,14,S/B,4104
2014-12-02,505,10:23:00,Tuesday,Dundas and Mccaul,Held By,11,19,W/B,4028
2014-12-02,501,10:53:00,Tuesday,Queen St. E. at Connaught.,Mechanical,6,12,W/B,4226
2014-12-02,501,11:03:00,Tuesday,Queen St. W. at Abell.,Mechanical,7,15,E/B,4212
2014-12-02,506,12:59:00,Tuesday,Gerrard at Broadview,Investigation,12,17,W/B,4123
2014-12-02,506,13:53:00,Tuesday,Main station,Mechanical,5,10,W/B,4065
2014-12-02,511,14:02:00,Tuesday,CNE Loop,Investigation,4,8,S/B,4208
2014-12-02,502,14:04:00,Tuesday,McCaul Loop,Held By,42,54,E/B,4116
2014-12-02,501,14:52:00,Tuesday,Queen and Roncesvalles,Mechanical,6,12,W/B,4248
2014-12-02,505,15:07:00,Tuesday,Dundas and Sherbourne,Held By,14,19,W/B,4014
2014-12-02,501,15:50:00,Tuesday,Queen and Parliament,Mechanical,5,10,W/B,4236
2014-12-02,504,15:54:00,Tuesday,Roncesvalles and Queen,Investigation,3,6,E/B,4024
2014-12-02,502,16:07:00,Tuesday,Kingston and Southwood,Held By,13,25,W/B,4118
2014-12-02,511,17:45:00,Tuesday,Bathurst and King,Mechanical,5,10,N/B,4208
2014-12-02,506,17:56:00,Tuesday,Dundas and Huron,Mechanical,5,40,W/B,4059
2014-12-02,505,18:06:00,Tuesday,Dundas and Mccaul,Utilized Off Route,30,35,W/B,4139
2014-12-02,505,18:07:00,Tuesday,Dundas and Parliament,Mechanical,5,10,W/B,4064
2014-12-02,512,18:13:00,Tuesday,St.Clair @vaughn rd.,Emergency Services,18,22,B/W,4141
2014-12-02,505,18:45:00,Tuesday,Dundas and University,Held By,44,49,W/B,4049
2014-12-02,512,19:30:00,Tuesday,St Clair and Lansdowne,Emergency Services,53,57,B/W,4146
2014-12-02,504,20:07:00,Tuesday,King and Crawford,Investigation,23,27,W/B,4047
2014-12-02,504,20:14:00,Tuesday,Roncesvalles Yard,Investigation,4,8,E/B,4142
2014-12-02,501,23:17:00,Tuesday,Kingston Rd and Queen,Mechanical,7,12,E/B,4241
2014-12-03,501,00:21:00,Wednesday,Neville Loop,Mechanical,9,18,W/B,4200
2014-12-03,506,05:30:00,Wednesday,Coxwell and Gerrard,General Delay,8,12,B/W,4028
2014-12-03,504,06:01:00,Wednesday,Broadview and Queen,Mechanical,8,12,W/B,4188
2014-12-03,506,06:34:00,Wednesday,College at Shaw,Investigation,20,24,E/B,4128
2014-12-03,504,06:53:00,Wednesday,Broadview and Queen,Late Leaving Garage,8,12,W/B,4074
2014-12-03,504,07:14:00,Wednesday,Broadview and Mount Stephen,Mechanical,5,10,S/B,4036
2014-12-03,506,08:24:00,Wednesday,Lansdowne loop,Held By,5,10,E/B,4134
2014-12-03,501,11:47:00,Wednesday,Queen St. W. at Soho.,Held By,12,18,W/B,4204
2014-12-03,511,12:02:00,Wednesday,CNE Loop,Held By,8,12,N/B,4068
2014-12-03,506,13:57:00,Wednesday,High park loop,Mechanical,5,10,E/B,4049
2014-12-03,501,14:30:00,Wednesday,Queen and Connaught,Mechanical,16,32,E/B,4116
