Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2017-11-01,12,01:14:00,Wednesday,Victoria Park Station,Emergency Services,15,30,E/B,8168
2017-11-01,84,02:04:00,Wednesday,Sheppard Yonge Station,Emergency Services,1,1,W/B,1298
2017-11-01,63,02:10:00,Wednesday,Eglinton West Station,Mechanical,1,1,W/B,1384
2017-11-01,300,02:16:00,Wednesday,2500 Bloor Street West,Mechanical,20,40,W/B,8154
2017-11-01,300,02:24:00,Wednesday,Bathurst Station,Utilized Off Route,10,20,E/B,7766
2017-11-01,45,02:46:00,Wednesday,Martingrove and Rexdale,Mechanical,1,1,S/B,8027
2017-11-01,300,03:08:00,Wednesday,427 North and Burnhamtorpe Rd,Investigation,20,40,W/B,8726
2017-11-01,41,03:49:00,Wednesday,Mount Dennis to York Commons,Late Leaving Garage,14,28,S/B,9152
2017-11-01,96,04:50:00,Wednesday,Humber College,Diversion,1205,1220,B/W,
2017-11-01,100,04:51:00,Wednesday,Eglinton Yard,Late Leaving Garage,1,1,,7459
2017-11-01,12,05:04:00,Wednesday,Kingston Rd and Brimley,Late Leaving Garage,7,7,W/B,7849
2017-11-01,300,05:04:00,Wednesday,Broadview Station,Late Leaving Garage,10,10,W/B,7966
2017-11-01,21,05:07:00,Wednesday,Scarborough town Centre,Late Leaving Garage,20,40,S/B,8168
2017-11-01,47,05:10:00,Wednesday,Queen and Lansdowne,Mechanical,10,20,N/B,1540
2017-11-01,39,05:12:00,Wednesday,Finch - Baldoon,Late Leaving Garage,5,10,E/B,1231
2017-11-01,94,05:12:00,Wednesday,Castle Frank Station,Late Leaving Garage,1,1,W/B,7878
2017-11-01,35,05:13:00,Wednesday,Jane and Finch,Mechanical,10,14,N/B,8520
2017-11-01,44,05:20:00,Wednesday,Kipling stn,Late Leaving Garage,15,30,S/B,8413
2017-11-01,110,05:27:00,Wednesday,Longbranch,Late Leaving Garage,10,20,N/B,8420
2017-11-01,353,05:29:00,Wednesday,Steeles & Bayview,Investigation,30,30,W/B,1745
2017-11-01,34,05:29:00,Wednesday,Eglinton STN,Late Leaving Garage,8,22,,7695
2017-11-01,43,05:33:00,Wednesday,Scarbough Town Centre,Mechanical,1,1,S/B,7679
2017-11-01,95,05:40:00,Wednesday,SCLP,Late Leaving Garage,20,40,W/B,1293
2017-11-01,100,05:45:00,Wednesday,Eglinton Yard,Late Leaving Garage,1,1,,7541
2017-11-01,186,05:58:00,Wednesday,Humber College bus loop,Diversion,763,773,B/W,
2017-11-01,95,05:58:00,Wednesday,KNRD,Late Leaving Garage,7,14,W/B,1127
2017-11-01,169,06:00:00,Wednesday,Scarborough Town Center,Mechanical,20,50,W/B,8312
2017-11-01,7,06:01:00,Wednesday,Greenwin village,Late Leaving Garage,9,18,S/B,
2017-11-01,34,06:03:00,Wednesday,Eglinton STN,Late Leaving Garage,4,8,E/B,8713
2017-11-01,41,06:03:00,Wednesday,Keele stn,Late Leaving Garage,14,14,N/B,9137
2017-11-01,32,06:04:00,Wednesday,Eglinton Stn,Mechanical,6,11,W/B,1607
2017-11-01,93,06:06:00,Wednesday,St Clair and Maybourne,Mechanical,1,1,N/B,8117
2017-11-01,100,06:06:00,Wednesday,Don Mills/Wynford,Late Leaving Garage,4,8,S/B,8684
2017-11-01,34,06:07:00,Wednesday,KENN,Late Leaving Garage,4,8,W/B,8797
2017-11-01,116,06:09:00,Wednesday,Kennedy Station,Late Leaving Garage,6,12,E/B,8759
2017-11-01,36,06:10:00,Wednesday,Finch and Arrow,Mechanical,5,15,EB,9103
2017-11-01,7,06:12:00,Wednesday,Bathurst and Wilson,Investigation,9,18,S/B,9041
2017-11-01,85,06:14:00,Wednesday,Rouge Hill Go,Late Leaving Garage,13,26,W/B,9078
2017-11-01,116,06:14:00,Wednesday,Morningside and Nightstar,Late Leaving Garage,6,12,S/B,8739
2017-11-01,102,06:15:00,Wednesday,Centennial College,Diversion,999,999,N/B,8162
2017-11-01,113,06:17:00,Wednesday,Main Station,Mechanical,12,24,E/B,7735
2017-11-01,53,06:23:00,Wednesday,Finch Station,Late Leaving Garage,13,26,EB,9076
2017-11-01,90,06:24:00,Wednesday,St.Clair west stn,Mechanical,4,8,N/B,8376
