Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2017-10-01,24,00:21:00,Sunday,Victoria Park,Mechanical,10,20,N/B,7845
2017-10-01,43,01:08:00,Sunday,Kennedy/Brigstock rd,Investigation,10,20,N/B,7642
2017-10-01,53,01:27:00,Sunday,Finch Stn,Mechanical,10,20,E/B,1767
2017-10-01,320,03:00:00,Sunday,Sheppard Yonge,Utilized Off Route,4,7,N/B,9025
2017-10-01,320,03:00:00,Sunday,Sheppard and Yonge,Utilized Off Route,4,7,N/B,8642
2017-10-01,337,03:36:00,Sunday,Annabellle dr and Islington,Mechanical,30,60,S/B,7965
2017-10-01,320,03:43:00,Sunday,Yonge and Queen's Quay,Utilized Off Route,4,7,,7563
2017-10-01,320,03:43:00,Sunday,Younge and Sheppard,Utilized Off Route,4,7,S/B,8358
2017-10-01,302,03:45:00,Sunday,Finch Ave East and McCowan Rd,Emergency Services,30,60,S/B,7713
2017-10-01,320,05:12:00,Sunday,QQYO - Yonge St & Queen's Quay,Mechanical,15,30,N/B,9035
2017-10-01,52,05:59:00,Sunday,Lawrence at Jane,Mechanical,7,14,E/B,1023
2017-10-01,86,05:59:00,Sunday,KENN,Late Leaving Garage,13,13,N/B,8677
2017-10-01,94,06:00:00,Sunday,Queens Park Circle,Diversion,420,433,B/W,7762
2017-10-01,161,06:05:00,Sunday,Caledonia & Rogers,Diversion,85,105,B/W,1635
2017-10-01,320,06:15:00,Sunday,Yonge St & Wilson,Mechanical,4,8,S/B,9046
2017-10-01,300,06:29:00,Sunday,Islington Stn,Mechanical,5,20,E/B,1543
2017-10-01,85,06:56:00,Sunday,Metro Zoo,Mechanical,20,40,W/B,1116
2017-10-01,29,07:32:00,Sunday,Wilson stn,Investigation,10,20,S/B,9047
2017-10-01,127,07:32:00,Sunday,Townsley Loop,Late Leaving Garage,25,50,E/B,1585
2017-10-01,94,07:35:00,Sunday,Castlefrank Station,Late Leaving Garage,13,26,W/B,8133
2017-10-01,5,07:35:00,Sunday,Avenue Rd and Bloor,Diversion,1,1,B/W,1824
2017-10-01,9,07:39:00,Sunday,Warden Station,Late Leaving Garage,24,48,N/B,8114
2017-10-01,29,07:42:00,Sunday,Wilson stn,Mechanical,10,20,S/B,9034
2017-10-01,116,07:53:00,Sunday,Staines/Morningside,Mechanical,10,20,N/B,8782
2017-10-01,102,07:55:00,Sunday,Warden Station,Mechanical,10,20,N/B,8111
2017-10-01,191,07:57:00,Sunday,SLPM - Steeles & Martin Grove loop,Late Leaving Garage,10,22,S/B,7936
2017-10-01,107,08:00:00,Sunday,Major Mackanzie and Keele,Diversion,150,180,B/W,1236
2017-10-01,32,08:02:00,Sunday,Pine & Lawrence,Late Leaving Garage,10,0,S/B,1562
2017-10-01,85,08:06:00,Sunday,Yonge and Sheppard,Mechanical,21,40,E/B,1121
2017-10-01,707,08:08:00,Sunday,Malvern Gate,Utilized Off Route,1,1,W/B,1763
2017-10-01,41,08:11:00,Sunday,Founders,Late Leaving Garage,10,20,S/B,1500
2017-10-01,96,08:24:00,Sunday,HUML,Late Leaving Garage,18,36,E/B,7921
